"subject","trial_target_position","mean_accuracy","interference"
"sub-01",7,40,"7"
"sub-01",3,100,"3"
"sub-01",2,100,"fwd"
"sub-01",9,80,"bwd"
"sub-01",6,80,"6"
"sub-01",5,100,"5"
"sub-01",16,40,"16"
"sub-01",4,80,"4"
"sub-01",8,80,"8"
"sub-02",9,60,"bwd"
"sub-02",7,80,"7"
"sub-02",3,100,"3"
"sub-02",4,100,"4"
"sub-02",8,20,"8"
"sub-02",6,80,"6"
"sub-02",2,20,"fwd"
"sub-02",16,40,"16"
"sub-02",5,60,"5"
"sub-03",4,100,"4"
"sub-03",16,80,"16"
"sub-03",8,40,"8"
"sub-03",7,100,"7"
"sub-03",5,80,"5"
"sub-03",2,100,"fwd"
"sub-03",6,100,"6"
"sub-03",9,20,"bwd"
"sub-03",3,100,"3"
"sub-04",16,60,"16"
"sub-04",4,100,"4"
"sub-04",3,40,"3"
"sub-04",5,40,"5"
"sub-04",8,80,"8"
"sub-04",7,0,"7"
"sub-04",6,40,"6"
"sub-04",9,100,"bwd"
"sub-04",2,100,"fwd"
"sub-05",4,100,"4"
"sub-05",7,60,"7"
"sub-05",2,80,"fwd"
"sub-05",8,40,"8"
"sub-05",9,20,"bwd"
"sub-05",3,80,"3"
"sub-05",16,60,"16"
"sub-05",5,80,"5"
"sub-05",6,100,"6"
"sub-06",5,100,"5"
"sub-06",8,80,"8"
"sub-06",4,100,"4"
"sub-06",7,60,"7"
"sub-06",3,80,"3"
"sub-06",9,100,"bwd"
"sub-06",16,80,"16"
"sub-06",2,100,"fwd"
"sub-06",6,80,"6"
"sub-07",3,80,"3"
"sub-07",9,40,"bwd"
"sub-07",4,80,"4"
"sub-07",2,100,"fwd"
"sub-07",8,60,"8"
"sub-07",6,40,"6"
"sub-07",16,60,"16"
"sub-07",7,100,"7"
"sub-07",5,80,"5"
"sub-08",16,60,"16"
"sub-08",5,100,"5"
"sub-08",2,100,"fwd"
"sub-08",4,100,"4"
"sub-08",7,80,"7"
"sub-08",8,100,"8"
"sub-08",6,100,"6"
"sub-08",9,100,"bwd"
"sub-08",3,100,"3"
"sub-09",7,80,"7"
"sub-09",3,80,"3"
"sub-09",4,100,"4"
"sub-09",16,20,"16"
"sub-09",8,40,"8"
"sub-09",9,80,"bwd"
"sub-09",6,100,"6"
"sub-09",2,60,"fwd"
"sub-09",5,100,"5"
"sub-10",5,80,"5"
"sub-10",9,40,"bwd"
"sub-10",4,100,"4"
"sub-10",6,100,"6"
"sub-10",7,80,"7"
"sub-10",2,100,"fwd"
"sub-10",3,80,"3"
"sub-10",8,80,"8"
"sub-10",16,60,"16"
"sub-11",5,100,"5"
"sub-11",7,80,"7"
"sub-11",4,60,"4"
"sub-11",6,100,"6"
"sub-11",9,80,"bwd"
"sub-11",3,80,"3"
"sub-11",16,40,"16"
"sub-11",2,80,"fwd"
"sub-11",8,40,"8"
"sub-12",7,80,"7"
"sub-12",9,60,"bwd"
"sub-12",2,100,"fwd"
"sub-12",4,80,"4"
"sub-12",8,40,"8"
"sub-12",5,80,"5"
"sub-12",16,40,"16"
"sub-12",3,100,"3"
"sub-12",6,80,"6"
"sub-13",9,40,"bwd"
"sub-13",4,60,"4"
"sub-13",3,80,"3"
"sub-13",5,100,"5"
"sub-13",6,80,"6"
"sub-13",2,80,"fwd"
"sub-13",16,40,"16"
"sub-13",8,60,"8"
"sub-13",7,60,"7"
"sub-14",5,60,"5"
"sub-14",16,80,"16"
"sub-14",4,80,"4"
"sub-14",9,80,"bwd"
"sub-14",2,100,"fwd"
"sub-14",7,60,"7"
"sub-14",8,40,"8"
"sub-14",6,100,"6"
