"t","event","probability"
0,"first",0.0808116315999135
0.1,"first",0.0808116315999135
0.2,"first",0.0808116315999135
0.3,"first",0.0808116315999135
0.4,"first",0.0808116315999135
0.5,"first",0.0808116315999135
0.6,"first",0.081050164957445
0.7,"first",0.0842153514567741
0.8,"first",0.0910160022211264
0.9,"first",0.101348888329833
1,"first",0.115057164104834
1.1,"first",0.131932747913722
1.2,"first",0.151719480697223
1.3,"first",0.174117014276969
1.4,"first",0.198785370421879
1.5,"first",0.225350101469846
1.6,"first",0.253407974170269
1.7,"first",0.282533090470816
1.8,"first",0.31228335233937
1.9,"first",0.342207172489844
2,"first",0.371850329147963
2.1,"first",0.400762860806653
2.2,"first",0.428505896313674
2.3,"first",0.454658316615765
2.4,"first",0.478823147038855
2.5,"first",0.500633583074206
2.6,"first",0.519758558203444
2.7,"first",0.535907769246945
2.8,"first",0.548836082954462
2.9,"first",0.558347256949149
3,"first",0.564296918543776
3.1,"first",0.566594756212869
3.2,"first",0.565205890455821
3.3,"first",0.560151403242289
3.4,"first",0.551508018003259
3.5,"first",0.539406935025302
3.6,"first",0.524031839925871
3.7,"first",0.505616115439542
3.8,"first",0.48443929883825
3.9,"first",0.460822838759295
4,"first",0.435125215849372
4.1,"first",0.407736501289703
4.2,"first",0.379072435799885
4.3,"first",0.349568118996853
4.4,"first",0.319671404899901
4.5,"first",0.289836103833173
4.6,"first",0.260515093915787
4.7,"first",0.232153446702151
4.8,"first",0.205181671320242
4.9,"first",0.180009179656903
5,"first",0.157018071783873
5.1,"first",0.136557335957268
5.2,"first",0.118937551230278
5.3,"first",0.104426173089561
5.4,"first",0.0932434736759426
5.5,"first",0.0855591982139071
5.6,"first",0.0814899884028373
5.7,"first",0.0808116315999135
5.8,"first",0.0808116315999135
5.9,"first",0.0808116315999135
6,"first",0.0808116315999135
6.1,"first",0.0808116315999135
6.2,"first",0.0808116315999135
6.3,"first",0.0808116315999135
6.4,"first",0.0808116315999135
6.5,"first",0.0808116315999135
6.6,"first",0.0808116315999135
6.7,"first",0.0808116315999135
6.8,"first",0.0808116315999135
6.9,"first",0.0808116315999135
7,"first",0.0808116315999135
7.1,"first",0.0808116315999135
7.2,"first",0.0808116315999135
7.3,"first",0.0808116315999135
7.4,"first",0.0808116315999135
7.5,"first",0.0808116315999135
7.6,"first",0.0808116315999135
7.7,"first",0.0808116315999135
7.8,"first",0.0808116315999135
7.9,"first",0.0808116315999135
8,"first",0.0808116315999135
0,"second",0.0808116315999135
0.1,"second",0.0808116315999135
0.2,"second",0.0808116315999135
0.3,"second",0.0808116315999135
0.4,"second",0.0808116315999135
0.5,"second",0.0808116315999135
0.6,"second",0.0808116315999135
0.7,"second",0.0808116315999135
0.8,"second",0.0808116315999135
0.9,"second",0.0808116315999135
1,"second",0.0808116315999135
1.1,"second",0.081050164957445
1.2,"second",0.0842153514567741
1.3,"second",0.0910160022211263
1.4,"second",0.101348888329833
1.5,"second",0.115057164104834
1.6,"second",0.131932747913722
1.7,"second",0.151719480697223
1.8,"second",0.174117014276969
1.9,"second",0.198785370421879
2,"second",0.225350101469846
2.1,"second",0.253407974170269
2.2,"second",0.282533090470816
2.3,"second",0.31228335233937
2.4,"second",0.342207172489844
2.5,"second",0.371850329147963
2.6,"second",0.400762860806653
2.7,"second",0.428505896313674
2.8,"second",0.454658316615765
2.9,"second",0.478823147038855
3,"second",0.500633583074206
3.1,"second",0.519758558203444
3.2,"second",0.535907769246945
3.3,"second",0.548836082954462
3.4,"second",0.558347256949149
3.5,"second",0.564296918543776
3.6,"second",0.566594756212869
3.7,"second",0.565205890455821
3.8,"second",0.560151403242289
3.9,"second",0.551508018003259
4,"second",0.539406935025302
4.1,"second",0.524031839925871
4.2,"second",0.505616115439542
4.3,"second",0.48443929883825
4.4,"second",0.460822838759295
4.5,"second",0.435125215849372
4.6,"second",0.407736501289703
4.7,"second",0.379072435799885
4.8,"second",0.349568118996853
4.9,"second",0.319671404899901
5,"second",0.289836103833173
5.1,"second",0.260515093915787
5.2,"second",0.232153446702151
5.3,"second",0.205181671320242
5.4,"second",0.180009179656903
5.5,"second",0.157018071783873
5.6,"second",0.136557335957269
5.7,"second",0.118937551230278
5.8,"second",0.104426173089561
5.9,"second",0.0932434736759426
6,"second",0.0855591982139071
