"speed","time","mean_difference","sem_upper","sem_lower"
0.032,0,0,0,0
0.032,0.1,0,0,0
0.032,0.2,3.05261196061662e-05,6.10522392123324e-05,0
0.032,0.3,0.000200875905331129,0.000342428074436522,5.93237362257356e-05
0.032,0.4,0.000617466680268309,0.000908674204019959,0.000326259156516658
0.032,0.5,0.00164006196867954,0.0021763590912457,0.00110376484611339
0.032,0.6,0.00463262204226771,0.00558034094739768,0.00368490313713774
0.032,0.7,0.00980769640114824,0.011152005634668,0.00846338716762851
0.032,0.8,0.016467915046015,0.0180622680322232,0.0148735620598068
0.032,0.9,0.0230721881647747,0.0249576423823985,0.021186733947151
0.032,1,0.0294960421822748,0.0316670012764713,0.0273250830880784
0.032,1.1,0.0355217064827869,0.0379837741031593,0.0330596388624145
0.032,1.2,0.0411673904900573,0.0438636099880205,0.038471170992094
0.032,1.3,0.0463118636550096,0.0491921344112102,0.0434315928988089
0.032,1.4,0.0508281145689902,0.0538571300030743,0.0477990991349061
0.032,1.5,0.0546541989074817,0.0577904778838617,0.0515179199311017
0.032,1.6,0.0577379333301525,0.0609360895635072,0.0545397770967977
0.032,1.7,0.0600376420251662,0.0632504368566323,0.0568248471937002
0.032,1.8,0.06152274901842,0.0647030925970428,0.0583424054397971
0.032,1.9,0.0621742073753832,0.0652772418900528,0.0590711728607137
0.032,2,0.0619847589030488,0.0649701605623041,0.0589993572437934
0.032,2.1,0.0609590205408116,0.0637936875125845,0.0581243535690386
0.032,2.2,0.0591133962712091,0.0617747313051997,0.0564520612372185
0.032,2.3,0.0564758160426691,0.0589558050556472,0.0539958270296909
0.032,2.4,0.0530853058346289,0.0553953540645315,0.0507752576047262
0.032,2.5,0.0489913955688398,0.0511670145129179,0.0468157766247617
0.032,2.6,0.0442533740385733,0.0463559960886162,0.0421507519885304
0.032,2.7,0.038939402350708,0.0410511106727919,0.036827694028624
0.032,2.8,0.0331254995175097,0.0353352069035996,0.0309157921314197
0.032,2.9,0.02689441576147,0.0292812914168341,0.0245075401061059
0.032,3,0.0203344107774666,0.0229569319970272,0.0177118895579059
0.032,3.1,0.0135379556053671,0.0164309888809147,0.0106449223298196
0.032,3.2,0.00660037788106059,0.00977719547607373,0.00342356028604746
0.032,3.3,-0.000381528962435608,0.00307430746977866,-0.00383736539464987
0.032,3.4,-0.00731091149177081,-0.0035954137629633,-0.0110264092205783
0.032,3.5,-0.0140922558657433,-0.0101481317024104,-0.0180363800290763
0.032,3.6,-0.0206327602027233,-0.0165002806278078,-0.0247652397776388
0.032,3.7,-0.0268436592115234,-0.022570200977654,-0.0311171174453927
0.032,3.8,-0.0326414814020816,-0.0282795582509823,-0.0370034045531809
0.032,3.9,-0.0379492203244384,-0.0335545601838436,-0.0423438804650331
0.032,4,-0.0426974027016527,-0.0383269777957465,-0.0470678276075588
0.032,4.1,-0.046825038000723,-0.0425349596998742,-0.0511151163015717
0.032,4.2,-0.0502804358973093,-0.0461236106000883,-0.0544372611945303
0.032,4.3,-0.0530218802034898,-0.0490452839411462,-0.0569984764658334
0.032,4.4,-0.0550181501081541,-0.0512595172147859,-0.0587767830015222
0.032,4.5,-0.0562488819896416,-0.0527325326154704,-0.0597652313638129
0.032,4.6,-0.0567047675606378,-0.053436297224524,-0.0599732378967516
0.032,4.7,-0.0563875866556443,-0.0533474563883603,-0.0594277169229282
0.032,4.8,-0.055310075530479,-0.0524473157179714,-0.0581728353429866
0.032,4.9,-0.0534956340702321,-0.0507253394750967,-0.0562659286653674
0.032,5,-0.0509778777567286,-0.048188148539844,-0.0537676069736131
0.032,5.1,-0.047800042590049,-0.0448702014430405,-0.0507298837370575
0.032,5.2,-0.044014253354362,-0.0408364277336484,-0.0471920789750757
0.032,5.3,-0.0397072898611409,-0.0362090778039042,-0.0432055019183777
0.032,5.4,-0.0355529006311804,-0.0318647493618316,-0.0392410519005292
0.032,5.5,-0.0317669015810049,-0.0280638108734837,-0.0354699922885261
0.032,5.6,-0.0283291544621478,-0.0247387669998911,-0.0319195419244045
0.032,5.7,-0.0250702564833683,-0.021674507221119,-0.0284660057456177
0.032,5.8,-0.0220453273370813,-0.018921323420106,-0.0251693312540565
0.032,5.9,-0.0190349230288354,-0.0162062304335335,-0.0218636156241373
0.032,6,-0.0159351799198638,-0.0133768991031742,-0.0184934607365534
0.032,6.1,-0.0128694014162192,-0.0105499265200658,-0.0151888763123726
0.032,6.2,-0.0101052879386621,-0.00800138119281417,-0.0122091946845101
0.032,6.3,-0.00793470026024452,-0.00607320245261088,-0.00979619806787817
0.032,6.4,-0.00591230156218077,-0.00425277695149098,-0.00757182617287056
0.032,6.5,-0.00435400839949646,-0.002861360306551,-0.00584665649244193
0.032,6.6,-0.00339408508016893,-0.0020782401241395,-0.00470993003619835
0.032,6.7,-0.00263960216196094,-0.00148654013213955,-0.00379266419178233
0.032,6.8,-0.00206773452777745,-0.00107223463095416,-0.00306323442460073
0.032,6.9,-0.00167752445845269,-0.000838489941935432,-0.00251655897496994
0.032,7,-0.00132351694463851,-0.000646467211458824,-0.00200056667781819
0.032,7.1,-0.00095903990749166,-0.000443787971480316,-0.001474291843503
0.032,7.2,-0.000586981537275729,-0.000224558734044581,-0.000949404340506877
0.032,7.3,-0.00032507200556308,-9.84857699083571e-05,-0.000551658241217803
0.032,7.4,-0.000129356724449475,-3.77721997636776e-05,-0.000220941249135273
0.032,7.5,0,0,0
0.032,7.6,0,0,0
0.032,7.7,0,0,0
0.032,7.8,0,0,0
0.032,7.9,0,0,0
0.032,8,0,0,0
0.032,8.1,0,0,0
0.032,8.2,0,0,0
0.032,8.3,0,0,0
0.032,8.4,0,0,0
0.032,8.5,0,0,0
0.032,8.6,0,0,0
0.032,8.7,0,0,0
0.032,8.8,0,0,0
0.032,8.9,0,0,0
0.032,9,0,0,0
0.032,9.1,0,0,0
0.032,9.2,0,0,0
0.032,9.3,0,0,0
0.032,9.4,0,0,0
0.032,9.5,0,0,0
0.032,9.6,0,0,0
0.032,9.7,0,0,0
0.032,9.8,0,0,0
0.032,9.9,0,0,0
