"tITI","period","seq_tr","position","mean_prob","sem_upper","sem_lower","time"
"0.032","excluded",1,4,8.88766062064963,9.92581963378691,7.84950160751235,0
"0.032","forward",2,4,6.86130257971908,7.51593200173242,6.20667315770574,1.25
"0.032","forward",3,4,7.53339681655583,8.64041057502496,6.4263830580867,2.5
"0.032","forward",4,4,8.84442973748404,10.3809481355588,7.30791133940928,3.75
"0.032","backward",5,4,7.12242553371711,8.18626695660252,6.05858411083171,5
"0.032","backward",6,4,8.0630374913356,8.74396635915808,7.38210862351312,6.25
"0.032","backward",7,4,7.77928292628671,8.53502714408008,7.02353870849333,7.5
"0.032","excluded",8,4,7.66500209902587,8.63205399984597,6.69795019820576,8.75
"0.032","excluded",9,4,7.93375289876468,8.69768588287205,7.16981991465731,10
"0.032","excluded",10,4,7.38258656122236,8.17368792589621,6.59148519654852,11.25
"0.032","excluded",11,4,6.2682357322558,6.79051904877929,5.74595241573232,12.5
"0.032","excluded",12,4,7.40982585366437,8.12445414791804,6.69519755941069,13.75
"0.032","excluded",13,4,8.24906114931891,9.19597686631715,7.30214543232067,15
"0.032","excluded",1,5,8.01285838104763,8.6787037892622,7.34701297283307,0
"0.032","forward",2,5,7.13634118985723,7.72344827417328,6.54923410554119,1.25
"0.032","forward",3,5,7.25194426317231,7.79874082838243,6.70514769796219,2.5
"0.032","forward",4,5,9.84231525899065,10.4962711377724,9.18835938020887,3.75
"0.032","backward",5,5,11.2271378835904,11.8658319797052,10.5884437874755,5
"0.032","backward",6,5,8.93968281305757,9.67937073577349,8.19999489034164,6.25
"0.032","backward",7,5,9.17225048635525,9.84877001264127,8.49573096006922,7.5
"0.032","excluded",8,5,7.00686004693726,7.58226680343022,6.4314532904443,8.75
"0.032","excluded",9,5,5.67910714251674,6.12956096705882,5.22865331797466,10
"0.032","excluded",10,5,5.72750879007125,6.17816222329723,5.27685535684527,11.25
"0.032","excluded",11,5,6.51282699349779,7.11086997926154,5.91478400773404,12.5
"0.032","excluded",12,5,6.2911452892534,6.75573168743633,5.82655889107047,13.75
"0.032","excluded",13,5,7.20002146165255,7.83656262900464,6.56348029430046,15
"0.064","excluded",1,4,9.07127574389039,9.92471071664295,8.21784077113782,0
"0.064","forward",2,4,6.9922431415447,7.65357374199847,6.33091254109093,1.25
"0.064","forward",3,4,7.7879652516057,8.85708045222884,6.71885005098256,2.5
"0.064","forward",4,4,9.10608121744004,10.7284320162315,7.48373041864853,3.75
"0.064","backward",5,4,7.0277821782126,8.00815917063594,6.04740518578926,5
"0.064","backward",6,4,6.66441252460408,7.21954340888892,6.10928164031924,6.25
"0.064","backward",7,4,8.47048624592812,9.22515107066185,7.71582142119438,7.5
"0.064","excluded",8,4,8.4461835781126,9.31666926231791,7.57569789390728,8.75
"0.064","excluded",9,4,7.63612978560097,8.47309613378628,6.79916343741566,10
"0.064","excluded",10,4,7.67760562491756,8.38722290746257,6.96798834237256,11.25
"0.064","excluded",11,4,6.73392354243383,7.34225665329858,6.12559043156907,12.5
"0.064","excluded",12,4,7.91238839499311,8.63672436478972,7.18805242519649,13.75
"0.064","excluded",13,4,6.47352277071631,7.13509974954766,5.81194579188497,15
"0.064","excluded",1,5,8.51688660104907,9.26214615399828,7.77162704809987,0
"0.064","forward",2,5,6.70072460460615,7.2618638785722,6.13958533064011,1.25
"0.064","forward",3,5,7.31240580982342,8.13707857238101,6.48773304726583,2.5
"0.064","forward",4,5,9.52483996936155,10.181519169258,8.86816076946512,3.75
"0.064","backward",5,5,9.63644218443724,10.3927370902137,8.88014727866078,5
"0.064","backward",6,5,10.0851066793675,10.8135299207933,9.35668343794159,6.25
"0.064","backward",7,5,8.99426326034654,9.65294431263209,8.335582208061,7.5
"0.064","excluded",8,5,7.12922891676242,7.69060260036937,6.56785523315547,8.75
"0.064","excluded",9,5,5.37867985014471,5.98252758674409,4.77483211354533,10
"0.064","excluded",10,5,6.5157926482534,7.08283834376876,5.94874695273804,11.25
"0.064","excluded",11,5,6.23960263311684,6.85764065513927,5.62156461109441,12.5
"0.064","excluded",12,5,5.98744442729645,6.54255144520375,5.43233740938916,13.75
"0.064","excluded",13,5,7.97858241543474,8.70472608372232,7.25243874714716,15
"0.128","excluded",1,4,9.06844097948153,9.83895790476243,8.29792405420064,0
"0.128","forward",2,4,7.7282147149996,8.44460627229386,7.01182315770534,1.25
"0.128","forward",3,4,7.36868285913673,8.49317094353014,6.24419477474332,2.5
