"tITI","period","seq_tr","mean_variable","sem_upper","sem_lower"
"0.032","backward",5,-0.00760302981333065,-0.00543128835647748,-0.00977477127018383
"0.032","backward",6,-0.00694846146846372,-0.00455178602836074,-0.0093451369085667
"0.032","backward",7,-0.00647015137534022,-0.00413583579594032,-0.00880446695474011
"0.064","backward",5,-0.00804767960471167,-0.00591873346559725,-0.0101766257438261
"0.064","backward",6,-0.00716606134682186,-0.00456906508636454,-0.00976305760727918
"0.064","backward",7,-0.00482901650502983,-0.0025149780503798,-0.00714305495967986
"0.128","backward",5,-0.00597030532561677,-0.00333628449880456,-0.00860432615242898
"0.128","backward",6,-0.00837889917220742,-0.00645653886674414,-0.0103012594776707
"0.128","backward",7,-0.00773899201920708,-0.00555185565210597,-0.00992612838630819
"0.128","backward",8,0.00331575362326869,0.00530277834588862,0.00132872890064877
"0.512","backward",6,-0.0184398613133802,-0.0162607796044503,-0.0206189430223102
"0.512","backward",7,-0.0170132131969335,-0.014360503533792,-0.019665922860075
"0.512","backward",8,-0.00564996391692803,-0.00268699058380246,-0.0086129372500536
"0.512","backward",9,0.000120413833654903,0.0022156204063195,-0.0019747927390097
"2.048","backward",8,-0.00914494891166489,-0.00697496480105144,-0.0113149330222783
"2.048","backward",9,-0.020651890480791,-0.0188141147975568,-0.0224896661640252
"2.048","backward",10,-0.0344445347433581,-0.032294044205244,-0.0365950252814721
"2.048","backward",11,-0.0384742889052894,-0.0360529861263722,-0.0408955916842066
"2.048","backward",12,-0.0172445968129956,-0.0147021623983033,-0.0197870312276879
"2.048","backward",13,0.00195055986450786,0.00440707396090309,-0.000505954231887378
"0.032","excluded",1,0.00176314631886769,0.0041611283693214,-0.000634835731586013
"0.032","excluded",8,-0.000425967316335841,0.00188241878652915,-0.00273435341920083
"0.032","excluded",9,0.00299175937505032,0.00531993014379944,0.000663588606301201
"0.032","excluded",10,0.00111849069897911,0.00266584957115647,-0.00042886817319825
"0.032","excluded",11,0.00180814929910202,0.00369849266800831,-8.2194069804256e-05
"0.032","excluded",12,0.00169981534654884,0.00357860242569372,-0.00017897173259603
"0.032","excluded",13,0.00380215597035138,0.0063401106170468,0.00126420132365596
"0.064","excluded",1,-0.00142186546200823,0.000972616631763925,-0.00381634755578039
"0.064","excluded",8,0.00177835561144942,0.00438951684694085,-0.000832805624042007
"0.064","excluded",9,0.00426189027687992,0.00640033719757375,0.00212344335618608
"0.064","excluded",10,0.000494286520355583,0.00254223305391564,-0.00155366001320447
"0.064","excluded",11,0.00169389165137386,0.00392158211945288,-0.000533798816705158
"0.064","excluded",12,0.00078570834815491,0.00303308723428308,-0.00146167053797326
"0.064","excluded",13,0.00356893115088745,0.00658453235683952,0.000553329944935379
"0.128","excluded",1,-0.00200177457785883,0.000296452921311304,-0.00430000207702897
"0.128","excluded",9,0.00043401000481839,0.00286640269518916,-0.00199838268555238
"0.128","excluded",10,-0.00228596602119245,-0.000538276149236066,-0.00403365589314884
"0.128","excluded",11,-0.000522435295717381,0.00168750132564101,-0.00273237191707577
"0.128","excluded",12,0.00220931062036363,0.00447385924361512,-5.52380028878661e-05
"0.128","excluded",13,0.0038162029210936,0.00630528641011841,0.00132711943206879
"0.512","excluded",1,0.000158157772307797,0.00311885815219953,-0.00280254260758393
"0.512","excluded",10,0.00263337734473383,0.00449688751210285,0.000769867177364818
"0.512","excluded",11,0.000490743384593048,0.00223091149522939,-0.00124942472604329
"0.512","excluded",12,-0.000316910604001753,0.00191808909518504,-0.00255191030318855
"0.512","excluded",13,0.000741491264559065,0.00269739513532322,-0.00121441260620509
"2.048","excluded",1,-0.00173427054412185,0.00107275505465612,-0.00454129614289982
"0.032","forward",2,0.00425542488568028,0.00641780030271055,0.00209304946865002
"0.032","forward",3,0.00607186760768667,0.00887245028068854,0.00327128493468481
"0.032","forward",4,-0.00206319952879588,0.00177667386154794,-0.0059030729191397
"0.064","forward",2,0.00371257439300445,0.00598984650907102,0.00143530227693788
"0.064","forward",3,0.00787336493722395,0.011496234793129,0.00425049508131887
"0.064","forward",4,-0.00270437997075796,0.0012415567197193,-0.00665031666123523
"0.128","forward",2,0.00554447780781631,0.00807480779955938,0.00301414781607325
"0.128","forward",3,0.00716773041181855,0.0101886674619688,0.00414679336166833
"0.128","forward",4,0.00441088702262078,0.00797508143881383,0.000846692606427721
"0.512","forward",2,0.00118813556041502,0.00358010808393279,-0.00120383696310274
"0.512","forward",3,0.0215321607057259,0.0247120323542187,0.018352289057233
"0.512","forward",4,0.0190165998259029,0.0221023394983402,0.0159308601534655
"0.512","forward",5,-0.00446113066064887,-0.00113374828858604,-0.00778851303271171
"2.048","forward",2,0.00368755053333427,0.00565960162555456,0.00171549944111398
"2.048","forward",3,0.0232669720178012,0.0262567114813644,0.0202772325542381
"2.048","forward",4,0.0373378326804911,0.0398274875961422,0.03484817776484
"2.048","forward",5,0.0307729647697893,0.0334818711041204,0.0280640584354583
"2.048","forward",6,0.0176022513923798,0.0195551964537279,0.0156493063310317
"2.048","forward",7,0.00707639913991724,0.00886354396614943,0.00528925431368505
