"speed","tr","empirical","prediction"
"32",1,0.00176314631886769,0
"32",2,0.00425542488568028,0.0294960421822748
"32",3,0.00607186760768667,0.0619847589030488
"32",4,-0.00206319952879588,0.0203344107774666
"32",5,-0.00760302981333065,-0.0426974027016527
"32",6,-0.00694846146846372,-0.0509778777567286
"32",7,-0.00647015137534022,-0.0159351799198638
"32",8,-0.000425967316335841,-0.00132351694463851
"32",9,0.00299175937505032,0
"32",10,0.00111849069897911,0
"32",11,0.00180814929910202,0
"32",12,0.00169981534654884,0
"32",13,0.00380215597035138,0
"64",1,-0.00142186546200823,0
"64",2,0.00371257439300445,0.0359790598386148
"64",3,0.00787336493722395,0.077106139037873
"64",4,-0.00270437997075796,0.0289890648479076
"64",5,-0.00804767960471167,-0.0494145671406939
"64",6,-0.00716606134682186,-0.066189016091808
"64",7,-0.00482901650502983,-0.0234058826797644
"64",8,0.00177835561144942,-0.00206469438843273
"64",9,0.00426189027687992,0
"64",10,0.000494286520355583,0
"64",11,0.00169389165137386,0
"64",12,0.00078570834815491,0
"64",13,0.00356893115088745,0
"128",1,-0.00200177457785883,0
"128",2,0.00554447780781631,0.048198479187578
"128",3,0.00716773041181855,0.107023776784309
"128",4,0.00441088702262078,0.0497361962207481
"128",5,-0.00597030532561677,-0.0578901156012899
"128",6,-0.00837889917220742,-0.0970414609228324
"128",7,-0.00773899201920708,-0.041997841164199
"128",8,0.00331575362326869,-0.00443851207601529
"128",9,0.00043401000481839,0
"128",10,-0.00228596602119245,0
"128",11,-0.000522435295717381,0
"128",12,0.00220931062036363,0
"128",13,0.0038162029210936,0
"512",1,0.000158157772307797,0
"512",2,0.00118813556041502,0.102375887432532
"512",3,0.0215321607057259,0.262085814377308
"512",4,0.0190165998259029,0.223053818068575
"512",5,-0.00446113066064887,0.0171654213017708
"512",6,-0.0184398613133802,-0.195116024052115
"512",7,-0.0170132131969335,-0.253107516044951
"512",8,-0.00564996391692803,-0.125452422588255
"512",9,0.000120413833654903,-0.017679935784268
"512",10,0.00263337734473383,-8.07626821646081e-05
"512",11,0.000490743384593048,0
"512",12,-0.000316910604001753,0
"512",13,0.000741491264559065,0
"2048",1,-0.00173427054412185,0
"2048",2,0.00368755053333427,0.0903166479434797
"2048",3,0.0232669720178012,0.270991289426431
"2048",4,0.0373378326804911,0.379903974321954
"2048",5,0.0307729647697893,0.388039105449317
"2048",6,0.0176022513923798,0.293491682747991
"2048",7,0.00707639913991724,0.121796210503735
"2048",8,-0.00914494891166489,-0.081031959451708
"2048",9,-0.020651890480791,-0.260943362014468
"2048",10,-0.0344445347433581,-0.370393410689268
"2048",11,-0.0384742889052894,-0.381028192418225
"2048",12,-0.0172445968129956,-0.291101507007269
"2048",13,0.00195055986450786,-0.130719614898853
