"id","tITI","period","mean_variable","period_short"
"sub-01","0.032","forward",-0.111111111111111,"fwd"
"sub-01","0.032","backward",0.222222222222222,"bwd"
"sub-01","0.064","forward",-0.155555555555556,"fwd"
"sub-01","0.064","backward",0.4,"bwd"
"sub-01","0.128","forward",-0.111111111111111,"fwd"
"sub-01","0.128","backward",0.45,"bwd"
"sub-01","0.512","forward",-0.433333333333333,"fwd"
"sub-01","0.512","backward",0.383333333333333,"bwd"
"sub-01","2.048","forward",-0.666666666666667,"fwd"
"sub-01","2.048","backward",0.688888888888889,"bwd"
"sub-02","0.032","forward",-0.111111111111111,"fwd"
"sub-02","0.032","backward",0.355555555555556,"bwd"
"sub-02","0.064","forward",-0.2,"fwd"
"sub-02","0.064","backward",0.266666666666667,"bwd"
"sub-02","0.128","forward",-0.177777777777778,"fwd"
"sub-02","0.128","backward",0.35,"bwd"
"sub-02","0.512","forward",-0.216666666666667,"fwd"
"sub-02","0.512","backward",0.35,"bwd"
"sub-02","2.048","forward",-0.577777777777778,"fwd"
"sub-02","2.048","backward",0.733333333333333,"bwd"
"sub-03","0.032","forward",-0.355555555555555,"fwd"
"sub-03","0.032","backward",-0.2,"bwd"
"sub-03","0.064","forward",-0.2,"fwd"
"sub-03","0.064","backward",0.355555555555555,"bwd"
"sub-03","0.128","forward",-0.266666666666667,"fwd"
"sub-03","0.128","backward",0.15,"bwd"
"sub-03","0.512","forward",-0.383333333333333,"fwd"
"sub-03","0.512","backward",0.55,"bwd"
"sub-03","2.048","forward",-0.788888888888889,"fwd"
"sub-03","2.048","backward",0.688888888888889,"bwd"
"sub-04","0.032","forward",0.0888888888888889,"fwd"
"sub-04","0.032","backward",0.688888888888889,"bwd"
"sub-04","0.064","forward",-0.533333333333333,"fwd"
"sub-04","0.064","backward",0.488888888888889,"bwd"
"sub-04","0.128","forward",-0.533333333333333,"fwd"
"sub-04","0.128","backward",0.333333333333333,"bwd"
"sub-04","0.512","forward",-0.283333333333333,"fwd"
"sub-04","0.512","backward",0.35,"bwd"
"sub-04","2.048","forward",-0.822222222222222,"fwd"
"sub-04","2.048","backward",0.688888888888889,"bwd"
"sub-05","0.032","forward",-0.555555555555555,"fwd"
"sub-05","0.032","backward",0.4,"bwd"
"sub-05","0.064","forward",-0.266666666666667,"fwd"
"sub-05","0.064","backward",0.155555555555556,"bwd"
"sub-05","0.128","forward",-0.377777777777778,"fwd"
"sub-05","0.128","backward",0.183333333333333,"bwd"
"sub-05","0.512","forward",-0.466666666666667,"fwd"
"sub-05","0.512","backward",0.683333333333333,"bwd"
"sub-05","2.048","forward",-0.788888888888889,"fwd"
"sub-05","2.048","backward",0.766666666666667,"bwd"
"sub-06","0.032","forward",0.266666666666667,"fwd"
"sub-06","0.032","backward",0.266666666666667,"bwd"
"sub-06","0.064","forward",0.488888888888889,"fwd"
"sub-06","0.064","backward",0.422222222222222,"bwd"
"sub-06","0.128","forward",0.088888888888889,"fwd"
"sub-06","0.128","backward",-0.0166666666666666,"bwd"
"sub-06","0.512","forward",0.183333333333333,"fwd"
"sub-06","0.512","backward",0.116666666666667,"bwd"
"sub-06","2.048","forward",-0.566666666666667,"fwd"
"sub-06","2.048","backward",0.366666666666667,"bwd"
"sub-07","0.032","forward",-0.333333333333333,"fwd"
"sub-07","0.032","backward",0.222222222222222,"bwd"
"sub-07","0.064","forward",-0.244444444444444,"fwd"
"sub-07","0.064","backward",-0.0444444444444446,"bwd"
"sub-07","0.128","forward",-1.48029736616688e-16,"fwd"
"sub-07","0.128","backward",-0.05,"bwd"
"sub-07","0.512","forward",-0.15,"fwd"
"sub-07","0.512","backward",0.383333333333333,"bwd"
"sub-07","2.048","forward",-0.377777777777778,"fwd"
"sub-07","2.048","backward",0.3,"bwd"
