"tr","interference","event","mean_probability","sem_upper","sem_lower"
1,"forward",1,9.11916209574254,10.5545444230998,7.68377976838532
2,"forward",1,12.2559094879047,13.9536184476904,10.558200528119
3,"forward",1,14.9725513981486,16.7887962474057,13.1563065488914
4,"forward",1,16.3547981351241,18.2585935325632,14.4510027376849
5,"forward",1,13.3569026589601,15.3559550856925,11.3578502322277
6,"forward",1,12.9236197546961,14.6648951753806,11.1823443340116
7,"forward",1,11.1326715784753,12.828834175396,9.43650898155468
8,"forward",1,11.999134561664,13.4262528271275,10.5720162962005
9,"forward",1,11.2166588803444,13.0570978734684,9.37621988722046
10,"forward",1,9.83127035018884,11.483577966999,8.17896273337864
11,"forward",1,8.60670765494088,9.942876399807,7.27053891007477
12,"forward",1,11.1871835890679,13.026620905337,9.34774627279877
13,"forward",1,12.2599135901541,14.1175422411865,10.4022849391216
1,"forward",5,12.405938095095,14.013568725778,10.798307464412
2,"forward",5,10.110594630722,11.7620117404188,8.45917752102515
3,"forward",5,7.62139795757969,9.30973169958208,5.9330642155773
4,"forward",5,4.75599361415206,6.02744519675486,3.48454203154925
5,"forward",5,4.20756099158808,5.18679169728008,3.22833028589607
6,"forward",5,7.81255489489568,9.65941256091703,5.96569722887434
7,"forward",5,9.70673469306175,11.7061173065482,7.70735207957526
8,"forward",5,11.2905710218298,12.7345155701703,9.84662647348931
9,"forward",5,11.4341526311396,13.1890785942276,9.67922666805153
10,"forward",5,12.6082451817051,14.2849932457914,10.9314971176188
11,"forward",5,9.96314795042807,11.4232692197129,8.50302668114324
12,"forward",5,12.0977125850521,13.8075509266465,10.3878742434576
13,"forward",5,11.9817504146075,14.2774081054008,9.68609272381417
1,"forward",3,11.5517323167841,13.3652444382026,9.73822019536569
2,"forward",3,11.9128341924673,13.4064699061762,10.4191984787585
3,"forward",3,10.3766206353882,12.3930641185054,8.36017715227099
4,"forward",3,5.63224067387367,6.67137469546798,4.59310665227936
5,"forward",3,4.35303576989863,5.51512702541908,3.19094451437819
6,"forward",3,6.59022423307374,8.0380884299317,5.14236003621578
7,"forward",3,11.6099929654125,13.6819338022315,9.53805212859351
8,"forward",3,12.3448091122021,14.6386913456497,10.0509268787546
9,"forward",3,12.9317829014705,14.9112055145937,10.9523602883473
10,"forward",3,12.5052700521049,14.5499964894873,10.4605436147225
