"tITI","t","trial_start","mean_slope","sem_upper","sem_lower"
"32 ms",1,1,0.0140839011730888,0.0261307793202071,0.00203702302597038
"32 ms",2,0,0.00525144518460031,0.0239815902800948,-0.0134786999108942
"32 ms",3,0,-0.00981831653148108,0.00820667860261294,-0.0278433116655751
"32 ms",4,0,-0.0290398981484463,-0.0165073529380425,-0.0415724433588501
"32 ms",5,0,-0.00745282870542114,0.00437329070481806,-0.0192789481156603
"32 ms",6,0,-0.00353811987754237,0.00776597160492573,-0.0148422113600105
"32 ms",7,0,-0.00316294225521362,0.00855408153568624,-0.0148799660461135
"32 ms",8,0,-0.00693210925321142,0.00632188146727173,-0.0201860999736946
"32 ms",9,0,-0.01493541858334,-0.00408734479312551,-0.0257834923735545
"32 ms",10,0,-0.0245700890099782,-0.013891410942864,-0.0352487670770924
"32 ms",11,0,-0.0129049708082769,0.00301213763273559,-0.0288220792492894
"32 ms",12,0,-0.0177233919911573,-0.00739982063958983,-0.0280469633427247
"32 ms",13,1,-0.0279555370847187,-0.0164571172552757,-0.0394539569141617
"32 ms",14,0,-0.0110324048199242,0.00406878549087501,-0.0261335951307234
"32 ms",15,0,-0.000148170637427225,0.0182909502653906,-0.0185872915402451
"32 ms",16,0,-0.0297231303671381,-0.013100102734947,-0.0463461579993293
"32 ms",17,0,-0.011435354322439,0.0033986813737885,-0.0262693900186665
"32 ms",18,0,-0.00731262758782842,0.00703971231570771,-0.0216649674913645
"32 ms",19,0,-0.00485404187614043,0.0104023502541642,-0.0201104340064451
"32 ms",20,0,0.00555368824329793,0.0188458518398189,-0.00773847535322302
"32 ms",21,0,0.0128610114736935,0.0247103751477999,0.00101164779958716
"32 ms",22,0,-0.00632861523104288,0.00731158109322153,-0.0199688115553073
"32 ms",23,0,-0.0176245203065237,-0.00444073470049688,-0.0308083059125505
"32 ms",24,0,0.00339311027885523,0.0193266030084001,-0.0125403824506896
"32 ms",25,1,-0.00032926026987707,0.0140018819427078,-0.014660402482462
"32 ms",26,0,-0.0184717181876576,-0.00138478190271462,-0.0355586544726006
"32 ms",27,0,-0.0241702107848901,-0.00629020368690452,-0.0420502178828756
"32 ms",28,0,-0.0279568316807513,-0.010296535443306,-0.0456171279181966
"32 ms",29,0,0.00609998910255325,0.0233584108736547,-0.0111584326685482
"32 ms",30,0,0.00817647597219207,0.0218193354088538,-0.00546638346446967
"32 ms",31,0,0.0229489442918571,0.0389208998991531,0.00697698868456107
"32 ms",32,0,0.0149599705896522,0.0270052037578711,0.00291473742143337
"32 ms",33,0,0.00658976361773828,0.0192019812023028,-0.00602245396682626
"32 ms",34,0,0.0132129494612725,0.027065667820066,-0.000639768897520866
"32 ms",35,0,0.0147715367428612,0.0263678391413725,0.00317523434434988
"32 ms",36,0,0.0156775324947424,0.0283950118765709,0.00296005311291387
"32 ms",37,1,-0.00655576549355925,0.0111351429335586,-0.0242466739206771
"32 ms",38,0,-0.0205341541497463,-0.0028056803076453,-0.0382626279918474
"32 ms",39,0,-0.0189425772793633,-0.00241074922218456,-0.0354744053365421
"32 ms",40,0,-0.0145896739802229,-0.0015984664196446,-0.0275808815408012
"32 ms",41,0,-0.00261855305132817,0.00957706595935947,-0.0148141720620158
"32 ms",42,0,-0.018750155104919,-0.00149210181114701,-0.0360082083986909
"32 ms",43,0,0.0124553068916444,0.0275218476778361,-0.00261123389454723
