"tITI","freq_bins_smooth","mean_spec","sem_upper","sem_lower"
"32 ms",0.00531161473087819,1.94340769027818,2.08611244588635,1.80070293467
"32 ms",0.00601983002832861,1.88936983734256,2.02504357729877,1.75369609738636
"32 ms",0.00672804532577904,1.84528789679076,1.976305964318,1.71426982926351
"32 ms",0.00743626062322946,1.85959854338042,1.98488992267908,1.73430716408176
"32 ms",0.00814447592067989,1.86028955128968,1.98349455790116,1.7370845446782
"32 ms",0.00885269121813031,1.87373712402157,2.00253191387371,1.74494233416942
"32 ms",0.00956090651558074,1.89643611363249,2.01883527743323,1.77403694983175
"32 ms",0.0102691218130312,1.91418789199429,2.03740833905124,1.79096744493735
"32 ms",0.0109773371104816,1.90574765086251,2.02505414901252,1.78644115271249
"32 ms",0.011685552407932,1.91544789768042,2.03804565802937,1.79285013733146
"32 ms",0.0123937677053824,1.89857304328755,2.02224569633863,1.77490039023646
"32 ms",0.0131019830028329,1.87814648031321,1.9968055566401,1.75948740398633
"32 ms",0.0138101983002833,1.88648056423046,2.00198502535459,1.77097610310633
"32 ms",0.0145184135977337,1.85190285826681,1.96569488648391,1.73811083004972
"32 ms",0.0152266288951841,1.9095162098302,2.02984115284434,1.78919126681606
"32 ms",0.0159348441926346,1.90738798629386,2.02957545539582,1.7852005171919
"32 ms",0.016643059490085,1.915437190404,2.03897058841584,1.79190379239216
"32 ms",0.0173512747875354,1.93049874726804,2.04943049083604,1.81156700370005
"32 ms",0.0180594900849858,1.93481769738544,2.05312197805775,1.81651341671313
"32 ms",0.0187677053824363,1.92014760705987,2.03783420183144,1.80246101228829
"32 ms",0.0194759206798867,1.92330892412815,2.03641137245963,1.81020647579667
"32 ms",0.0201841359773371,1.92745930547284,2.03970322946867,1.81521538147701
"32 ms",0.0208923512747875,1.93239322929591,2.04234218251361,1.82244427607821
"32 ms",0.021600566572238,1.95520164632502,2.06787662531688,1.84252666733316
"32 ms",0.0223087818696884,1.97251347193927,2.08706546510398,1.85796147877456
"32 ms",0.0230169971671388,1.97467842555832,2.08810837593898,1.86124847517766
"32 ms",0.0237252124645892,1.92393426749671,2.03568657509491,1.8121819598985
"32 ms",0.0244334277620397,1.8794082913109,1.98387756903815,1.77493901358365
"32 ms",0.0251416430594901,1.89901625832244,1.99873487629972,1.79929764034515
"32 ms",0.0258498583569405,1.922404369425,2.02004299882352,1.82476574002647
"32 ms",0.0265580736543909,1.96421740046083,2.07029083175403,1.85814396916762
"32 ms",0.0272662889518414,1.96064017692181,2.06268197915403,1.85859837468959
