"speed","insert","snr","snr_char","mean_variable_diff","sem_upper","sem_lower","pvalue_log"
"2048 ms",1,0,"0",-0.000600761213212917,0.00015680090230895,-0.00135832332873478,-0.2310231509881
"2048 ms",1,0.125,"1/8",-0.0015884558917181,-0.000873712148753904,-0.00230319963468231,-1.04314839021287
"2048 ms",1,0.25,"1/4",-0.00216133757586114,-0.00148082736350908,-0.00284184778821321,-1.78147877891518
"2048 ms",1,0.5,"1/2",-0.00225852049031546,-0.00161967824900791,-0.00289736273162301,-2.02782728446472
"2048 ms",1,0.8,"4/5",-0.000662763354450517,-1.23880887812963e-05,-0.00131313862011974,-0.323619302389594
"2048 ms",2,0,"0",-0.00118748548252652,-0.000167035761315932,-0.0022079352037371,-0.383721772761438
"2048 ms",2,0.125,"1/8",-0.00339210404459257,-0.00240576384882338,-0.00437844424036176,-1.96089133234308
"2048 ms",2,0.25,"1/4",-0.00478202135803628,-0.0038028331330371,-0.00576120958303545,-3.17084294882427
"2048 ms",2,0.5,"1/2",-0.00547752694191798,-0.00444939669487528,-0.00650565718896067,-3.49971114195965
"2048 ms",2,0.8,"4/5",-0.00275774161524677,-0.00160116294504383,-0.00391432028544972,-1.14977119284286
"2048 ms",3,0,"0",-0.000901242761959941,0.000457825202377961,-0.00226031072629784,-0.190448983721297
"2048 ms",3,0.125,"1/8",-0.00435174021527283,-0.00302932788562947,-0.00567415254491619,-1.86302567501153
"2048 ms",3,0.25,"1/4",-0.00666325039964709,-0.00534530914512812,-0.00798119165416605,-3.30641463982678
"2048 ms",3,0.5,"1/2",-0.00833736432303156,-0.00694140332710075,-0.00973332531896238,-3.98003686571363
"2048 ms",3,0.8,"4/5",-0.00514727672316408,-0.00358200316102929,-0.00671255028529886,-1.86302567501153
"2048 ms",4,0,"0",-0.000483017825561437,0.00106245064340751,-0.00202848629453038,-0.0930510962131283
"2048 ms",4,0.125,"1/8",-0.00531283301830228,-0.00381676239420392,-0.00680890364240065,-2.02782728446472
"2048 ms",4,0.25,"1/4",-0.00863872004352332,-0.00713274183229862,-0.010144698254748,-3.80654158403487
"2048 ms",4,0.5,"1/2",-0.0113455715593321,-0.00967900826535979,-0.0130121348533045,-4.70469514565634
"2048 ms",4,0.8,"4/5",-0.00749748564816884,-0.00551958697406632,-0.00947538432227137,-2.21759566968352
"2048 ms",5,0,"0",-0.000779649852754951,0.000715919288370986,-0.00227521899388089,-0.155957985034108
"2048 ms",5,0.125,"1/8",-0.00676210818580927,-0.00531111413240634,-0.00821310223921221,-2.98457188262995
"2048 ms",5,0.25,"1/4",-0.0109152814844624,-0.00941864633434119,-0.0124119166345837,-5.07701903418352
"2048 ms",5,0.5,"1/2",-0.0144357638287466,-0.0126631112542365,-0.0162084164032567,-5.7422344720203
"2048 ms",5,0.8,"4/5",-0.0100095537155813,-0.0078069469114291,-0.0122121605197335,-2.89914834986639
"2048 ms",6,0,"0",-0.00108495289104005,0.000613043633618764,-0.00278294941569887,-0.190448983721297
"2048 ms",6,0.125,"1/8",-0.00834293757718836,-0.0067484623862443,-0.00993741276813243,-3.44367058151434
"2048 ms",6,0.25,"1/4",-0.0134343589015153,-0.0118310589329675,-0.0150376588700632,-5.81254367664638
"2048 ms",6,0.5,"1/2",-0.0179261673130351,-0.0160378511129756,-0.0198144835130946,-6.52109110233131
"2048 ms",6,0.8,"4/5",-0.0129927372173245,-0.0106185485031099,-0.015366925931539,-3.59903075327832
