"speed","snr","snr_char","insert","freq_bins_smooth","mean_power_smooth_rel","sem_upper","sem_lower"
"2048 ms",0,"0","2 inserts",0.0280172413793103,0,0,0
"2048 ms",0,"0","2 inserts",0.0301724137931034,0,0,0
"2048 ms",0,"0","2 inserts",0.0323275862068966,0,0,0
"2048 ms",0,"0","2 inserts",0.0344827586206897,0,0,0
"2048 ms",0,"0","2 inserts",0.0366379310344828,0,0,0
"2048 ms",0,"0","2 inserts",0.0387931034482759,0,0,0
"2048 ms",0,"0","2 inserts",0.040948275862069,0,0,0
"2048 ms",0,"0","2 inserts",0.0431034482758621,0,0,0
"2048 ms",0,"0","2 inserts",0.0452586206896552,0,0,0
"2048 ms",0,"0","2 inserts",0.0474137931034483,0,0,0
"2048 ms",0,"0","2 inserts",0.0495689655172414,0,0,0
"2048 ms",0,"0","2 inserts",0.0517241379310345,0,0,0
"2048 ms",0,"0","2 inserts",0.0538793103448276,0,0,0
"2048 ms",0,"0","2 inserts",0.0560344827586207,0,0,0
"2048 ms",0,"0","2 inserts",0.0581896551724138,0,0,0
"2048 ms",0,"0","2 inserts",0.0603448275862069,0,0,0
"2048 ms",0,"0","2 inserts",0.0625,0,0,0
"2048 ms",0,"0","2 inserts",0.0646551724137931,0,0,0
"2048 ms",0,"0","2 inserts",0.0668103448275862,0,0,0
"2048 ms",0,"0","2 inserts",0.0689655172413793,0,0,0
"2048 ms",0,"0","2 inserts",0.0711206896551724,0,0,0
"2048 ms",0,"0","2 inserts",0.0732758620689655,0,0,0
"2048 ms",0,"0","2 inserts",0.0754310344827586,0,0,0
"2048 ms",0,"0","2 inserts",0.0775862068965517,0,0,0
"2048 ms",0,"0","2 inserts",0.0797413793103448,0,0,0
"2048 ms",0,"0","2 inserts",0.0818965517241379,0,0,0
"2048 ms",0,"0","2 inserts",0.084051724137931,0,0,0
"2048 ms",0,"0","2 inserts",0.0862068965517241,0,0,0
"2048 ms",0,"0","2 inserts",0.0883620689655172,0,0,0
"2048 ms",0,"0","2 inserts",0.0905172413793103,0,0,0
"2048 ms",0,"0","2 inserts",0.0926724137931034,0,0,0
"2048 ms",0,"0","2 inserts",0.0948275862068966,0,0,0
