"tr","interference","event","mean_probability","sem_upper","sem_lower"
1,"forward",1,9.11916209574254,10.5545444230998,7.68377976838532
2,"forward",1,12.2559094879047,13.9536184476904,10.558200528119
3,"forward",1,14.9725513981486,16.7887962474057,13.1563065488914
4,"forward",1,16.3547981351241,18.2585935325632,14.4510027376849
5,"forward",1,13.3569026589601,15.3559550856925,11.3578502322277
6,"forward",1,12.9236197546961,14.6648951753806,11.1823443340116
7,"forward",1,11.1326715784753,12.828834175396,9.43650898155468
8,"forward",1,11.999134561664,13.4262528271275,10.5720162962005
9,"forward",1,11.2166588803444,13.0570978734684,9.37621988722046
10,"forward",1,9.83127035018884,11.483577966999,8.17896273337864
11,"forward",1,8.60670765494088,9.942876399807,7.27053891007477
12,"forward",1,11.1871835890679,13.026620905337,9.34774627279877
13,"forward",1,12.2599135901541,14.1175422411865,10.4022849391216
1,"forward",4,12.7789514017018,14.640797281637,10.9171055217666
2,"forward",4,11.904223469335,13.8118560577252,9.99659088094481
3,"forward",4,11.6531491769804,14.011664162063,9.29463419189785
4,"forward",4,7.30378304830371,8.8933345754061,5.71423152120133
5,"forward",4,3.15035959486527,3.88282979680478,2.41788939292577
6,"forward",4,5.02453120643253,6.41854910356225,3.63051330930281
7,"forward",4,7.33983537562528,8.84738181617447,5.83228893507608
8,"forward",4,10.0874650273965,11.7610671283686,8.41386292642449
9,"forward",4,11.677365649281,13.2881325932212,10.0665987053407
10,"forward",4,12.2240011118494,14.081834737106,10.3661674865928
11,"forward",4,11.552391798717,13.4657272325803,9.6390563648537
12,"forward",4,11.3168402654223,13.0715816420568,9.56209888878784
13,"forward",4,9.38663168527263,11.1444020820399,7.62886128850533
1,"forward",3,12.1506109588757,14.0310742969,10.2701476208514
2,"forward",3,11.8757350701678,13.7304690700796,10.021001070256
3,"forward",3,7.99582279444857,9.58840210529738,6.40324348359977
4,"forward",3,5.62167024200065,6.9706092030573,4.272731280944
5,"forward",3,4.61140586924037,5.78458239202303,3.4382293464577
6,"forward",3,6.0377534091596,7.68560022327414,4.38990659504505
7,"forward",3,8.95943531060315,10.7208787459924,7.1979918752139
8,"forward",3,12.5521115106024,14.4363555832438,10.6678674379611
9,"forward",3,10.267523724189,11.6651238529034,8.86992359547466
10,"forward",3,10.576795409899,12.2665613024544,8.88702951734365
11,"forward",3,10.3646500140751,11.9067013223052,8.82259870584508
