"interference","head","tail","step_type","mean_proportion"
"forward",1,1,"repetition",8.28703703703704
"forward",1,2,"forward",3.84259259259259
"forward",1,3,"outwards",2.26851851851852
"forward",1,4,"outwards",2.59259259259259
"forward",1,5,"outwards",2.08333333333333
"forward",2,1,"backward",4.02777777777778
"forward",2,2,"repetition",16.3425925925926
"forward",2,3,"outwards",3.00925925925926
"forward",2,4,"outwards",3.33333333333333
"forward",2,5,"outwards",3.14814814814815
"forward",3,1,"inwards",2.4537037037037
"forward",3,2,"inwards",3.00925925925926
"forward",3,3,"repetition",7.22222222222222
"forward",3,4,"outside",2.17592592592593
"forward",3,5,"outside",2.22222222222222
"forward",4,1,"inwards",2.68518518518519
"forward",4,2,"inwards",2.82407407407407
"forward",4,3,"outside",1.66666666666667
"forward",4,4,"repetition",6.80555555555556
"forward",4,5,"outside",3.14814814814815
"forward",5,1,"inwards",2.22222222222222
"forward",5,2,"inwards",3.24074074074074
"forward",5,3,"outside",2.4537037037037
"forward",5,4,"outside",2.26851851851852
"forward",5,5,"repetition",6.66666666666667
"backward",1,1,"repetition",13.0092592592593
"backward",1,2,"forward",4.53703703703704
"backward",1,3,"outwards",2.96296296296296
"backward",1,4,"outwards",3.00925925925926
"backward",1,5,"outwards",2.59259259259259
"backward",2,1,"backward",3.7962962962963
"backward",2,2,"repetition",9.90740740740741
"backward",2,3,"outwards",3.47222222222222
"backward",2,4,"outwards",3.10185185185185
"backward",2,5,"outwards",2.68518518518519
"backward",3,1,"inwards",3.14814814814815
"backward",3,2,"inwards",2.5462962962963
"backward",3,3,"repetition",6.11111111111111
"backward",3,4,"outside",1.66666666666667
"backward",3,5,"outside",3.10185185185185
"backward",4,1,"inwards",3.61111111111111
"backward",4,2,"inwards",2.63888888888889
"backward",4,3,"outside",2.08333333333333
"backward",4,4,"repetition",6.62037037037037
"backward",4,5,"outside",2.36111111111111
"backward",5,1,"inwards",2.59259259259259
"backward",5,2,"inwards",2.73148148148148
"backward",5,3,"outside",1.94444444444444
"backward",5,4,"outside",2.87037037037037
"backward",5,5,"repetition",6.89814814814815
