"subject","condition","mean_accuracy","exclude","condition_short"
"sub-01","oddball",100,"no","odd"
"sub-01","repetition",77.7777777777778,"no","rep"
"sub-01","sequence",89.3333333333333,"no","seq"
"sub-02","oddball",98.3333333333333,"no","odd"
"sub-02","sequence",90.6666666666667,"no","seq"
"sub-02","repetition",62.2222222222222,"no","rep"
"sub-03","oddball",99.1666666666667,"no","odd"
"sub-03","sequence",92,"no","seq"
"sub-03","repetition",80,"no","rep"
"sub-04","sequence",100,"no","seq"
"sub-04","oddball",100,"no","odd"
"sub-04","repetition",62.2222222222222,"no","rep"
"sub-05","oddball",100,"no","odd"
"sub-05","repetition",68.8888888888889,"no","rep"
"sub-05","sequence",96,"no","seq"
"sub-06","sequence",97.3333333333333,"no","seq"
"sub-06","oddball",100,"no","odd"
"sub-06","repetition",86.6666666666667,"no","rep"
"sub-07","oddball",100,"no","odd"
"sub-07","repetition",71.1111111111111,"no","rep"
"sub-07","sequence",82.6666666666667,"no","seq"
"sub-08","repetition",93.3333333333333,"no","rep"
"sub-08","oddball",100,"no","odd"
"sub-08","sequence",100,"no","seq"
"sub-09","sequence",86.6666666666667,"no","seq"
"sub-09","oddball",99.1666666666667,"no","odd"
"sub-09","repetition",73.3333333333333,"no","rep"
"sub-10","sequence",88,"no","seq"
"sub-10","oddball",100,"no","odd"
"sub-10","repetition",80,"no","rep"
"sub-11","sequence",90.6666666666667,"no","seq"
"sub-11","repetition",73.3333333333333,"no","rep"
"sub-11","oddball",100,"no","odd"
"sub-12","oddball",99.1666666666667,"no","odd"
"sub-12","sequence",86.6666666666667,"no","seq"
"sub-12","repetition",73.3333333333333,"no","rep"
"sub-13","oddball",100,"no","odd"
"sub-13","repetition",66.6666666666667,"no","rep"
"sub-13","sequence",100,"no","seq"
"sub-14","repetition",73.3333333333333,"no","rep"
"sub-14","oddball",100,"no","odd"
"sub-14","sequence",92,"no","seq"
"sub-15","oddball",100,"no","odd"
"sub-15","repetition",84.4444444444444,"no","rep"
"sub-15","sequence",92,"no","seq"
"sub-16","oddball",100,"no","odd"
"sub-16","sequence",94.6666666666667,"no","seq"
"sub-16","repetition",82.2222222222222,"no","rep"
"sub-17","repetition",84.4444444444444,"no","rep"
"sub-17","oddball",100,"no","odd"
"sub-17","sequence",97.3333333333333,"no","seq"
"sub-18","oddball",100,"no","odd"
"sub-18","repetition",57.7777777777778,"no","rep"
"sub-18","sequence",96,"no","seq"
"sub-19","oddball",98.3333333333333,"no","odd"
"sub-19","sequence",73.3333333333333,"no","seq"
"sub-19","repetition",80,"no","rep"
"sub-20","oddball",100,"no","odd"
"sub-20","repetition",77.7777777777778,"no","rep"
"sub-20","sequence",94.6666666666667,"no","seq"
"sub-21","repetition",64.4444444444444,"no","rep"
"sub-21","sequence",82.6666666666667,"no","seq"
"sub-21","oddball",99.1666666666667,"no","odd"
"sub-22","oddball",100,"no","odd"
"sub-22","repetition",80,"no","rep"
"sub-22","sequence",98.6666666666667,"no","seq"
"sub-23","repetition",60,"no","rep"
"sub-23","oddball",100,"no","odd"
"sub-23","sequence",97.3333333333333,"no","seq"
"sub-24","oddball",84.1666666666667,"no","odd"
"sub-24","sequence",74.6666666666667,"no","seq"
"sub-24","repetition",48.8888888888889,"yes","rep"
"sub-25","repetition",51.1111111111111,"no","rep"
"sub-25","oddball",100,"no","odd"
"sub-25","sequence",94.6666666666667,"no","seq"
"sub-26","repetition",75.5555555555556,"no","rep"
"sub-26","oddball",100,"no","odd"
"sub-26","sequence",94.6666666666667,"no","seq"
"sub-27","oddball",100,"no","odd"
"sub-27","repetition",84.4444444444444,"no","rep"
"sub-27","sequence",94.6666666666667,"no","seq"
"sub-28","oddball",96.6666666666667,"no","odd"
"sub-28","sequence",81.3333333333333,"no","seq"
"sub-28","repetition",73.3333333333333,"no","rep"
"sub-29","oddball",95.8333333333333,"no","odd"
"sub-29","sequence",88,"no","seq"
"sub-29","repetition",64.4444444444444,"no","rep"
"sub-30","oddball",99.1666666666667,"no","odd"
"sub-30","repetition",80,"no","rep"
"sub-30","sequence",90.6666666666667,"no","seq"
"sub-31","oddball",89.1666666666667,"no","odd"
"sub-31","sequence",57.3333333333333,"no","seq"
"sub-31","repetition",40,"yes","rep"
"sub-32","repetition",80,"no","rep"
"sub-32","oddball",100,"no","odd"
"sub-32","sequence",97.3333333333333,"no","seq"
"sub-33","sequence",85.3333333333333,"no","seq"
"sub-33","oddball",100,"no","odd"
"sub-33","repetition",62.2222222222222,"no","rep"
"sub-34","repetition",84.4444444444444,"no","rep"
"sub-34","oddball",100,"no","odd"
"sub-34","sequence",94.6666666666667,"no","seq"
"sub-35","oddball",100,"no","odd"
"sub-35","sequence",93.3333333333333,"no","seq"
"sub-35","repetition",62.2222222222222,"no","rep"
"sub-36","oddball",95.8333333333333,"no","odd"
"sub-36","sequence",88,"no","seq"
"sub-36","repetition",60,"no","rep"
"sub-37","repetition",44.4444444444444,"yes","rep"
"sub-37","sequence",46.6666666666667,"yes","seq"
"sub-37","oddball",85,"no","odd"
"sub-38","oddball",99.1666666666667,"no","odd"
"sub-38","sequence",94.6666666666667,"no","seq"
"sub-38","repetition",75.5555555555556,"no","rep"
"sub-39","oddball",100,"no","odd"
"sub-39","sequence",93.3333333333333,"no","seq"
"sub-39","repetition",77.7777777777778,"no","rep"
"sub-40","oddball",98.3333333333333,"no","odd"
"sub-40","sequence",68,"no","seq"
"sub-40","repetition",40,"yes","rep"
