"subject","session","run_session","sdt_type","freq"
"sub-01",1,1,"false alarm",0
"sub-01",1,1,"miss",0
"sub-01",1,2,"false alarm",0
"sub-01",1,2,"miss",0
"sub-01",1,3,"false alarm",0
"sub-01",1,3,"miss",0
"sub-01",1,4,"false alarm",0
"sub-01",1,4,"miss",0
"sub-01",2,1,"false alarm",1.53846153846154
"sub-01",2,1,"miss",0
"sub-01",2,2,"false alarm",0
"sub-01",2,2,"miss",0
"sub-01",2,3,"false alarm",0
"sub-01",2,3,"miss",0
"sub-01",2,4,"false alarm",0
"sub-01",2,4,"miss",0
"sub-02",1,1,"false alarm",0
"sub-02",1,1,"miss",4
"sub-02",1,2,"false alarm",0
"sub-02",1,2,"miss",8.33333333333333
"sub-02",1,3,"false alarm",0
"sub-02",1,3,"miss",0
"sub-02",1,4,"false alarm",0
"sub-02",1,4,"miss",0
"sub-02",2,1,"false alarm",0
"sub-02",2,1,"miss",0
"sub-02",2,2,"false alarm",1.72413793103448
"sub-02",2,2,"miss",0
"sub-02",2,3,"false alarm",1.78571428571429
"sub-02",2,3,"miss",0
"sub-02",2,4,"false alarm",0
"sub-02",2,4,"miss",0
"sub-03",1,1,"false alarm",0
"sub-03",1,1,"miss",0
"sub-03",1,2,"false alarm",0
"sub-03",1,2,"miss",7.69230769230769
"sub-03",1,3,"false alarm",1.63934426229508
"sub-03",1,3,"miss",0
"sub-03",1,4,"false alarm",0
"sub-03",1,4,"miss",0
"sub-03",2,1,"false alarm",0
"sub-03",2,1,"miss",0
"sub-03",2,2,"false alarm",0
"sub-03",2,2,"miss",0
"sub-03",2,3,"false alarm",0
"sub-03",2,3,"miss",0
"sub-03",2,4,"false alarm",0
"sub-03",2,4,"miss",0
"sub-04",1,1,"false alarm",0
"sub-04",1,1,"miss",0
"sub-04",1,2,"false alarm",0
"sub-04",1,2,"miss",0
"sub-04",1,3,"false alarm",0
"sub-04",1,3,"miss",0
"sub-04",1,4,"false alarm",0
"sub-04",1,4,"miss",0
"sub-04",2,1,"false alarm",0
"sub-04",2,1,"miss",0
"sub-04",2,2,"false alarm",0
"sub-04",2,2,"miss",0
"sub-04",2,3,"false alarm",0
"sub-04",2,3,"miss",0
"sub-04",2,4,"false alarm",0
"sub-04",2,4,"miss",0
"sub-05",1,1,"false alarm",1.63934426229508
"sub-05",1,1,"miss",0
"sub-05",1,2,"false alarm",0
"sub-05",1,2,"miss",0
"sub-05",1,3,"false alarm",0
"sub-05",1,3,"miss",0
"sub-05",1,4,"false alarm",0
"sub-05",1,4,"miss",0
"sub-05",2,1,"false alarm",0
"sub-05",2,1,"miss",0
"sub-05",2,2,"false alarm",0
"sub-05",2,2,"miss",0
"sub-05",2,3,"false alarm",1.69491525423729
"sub-05",2,3,"miss",0
"sub-05",2,4,"false alarm",0
"sub-05",2,4,"miss",0
"sub-06",1,1,"false alarm",0
"sub-06",1,1,"miss",0
"sub-06",1,2,"false alarm",0
"sub-06",1,2,"miss",0
"sub-06",1,3,"false alarm",0
"sub-06",1,3,"miss",0
"sub-06",1,4,"false alarm",0
"sub-06",1,4,"miss",0
"sub-06",2,1,"false alarm",0
"sub-06",2,1,"miss",0
"sub-06",2,2,"false alarm",0
"sub-06",2,2,"miss",0
"sub-06",2,3,"false alarm",0
"sub-06",2,3,"miss",0
"sub-06",2,4,"false alarm",0
"sub-06",2,4,"miss",0
"sub-07",1,1,"false alarm",0
"sub-07",1,1,"miss",0
"sub-07",1,2,"false alarm",0
"sub-07",1,2,"miss",0
"sub-07",1,3,"false alarm",0
"sub-07",1,3,"miss",0
"sub-07",1,4,"false alarm",1.66666666666667
"sub-07",1,4,"miss",0
"sub-07",2,1,"false alarm",0
"sub-07",2,1,"miss",0
"sub-07",2,2,"false alarm",0
"sub-07",2,2,"miss",0
"sub-07",2,3,"false alarm",1.88679245283019
"sub-07",2,3,"miss",0
"sub-07",2,4,"false alarm",1.53846153846154
"sub-07",2,4,"miss",0
"sub-08",1,1,"false alarm",1.69491525423729
"sub-08",1,1,"miss",0
"sub-08",1,2,"false alarm",0
"sub-08",1,2,"miss",0
"sub-08",1,3,"false alarm",0
"sub-08",1,3,"miss",0
"sub-08",1,4,"false alarm",0
"sub-08",1,4,"miss",0
"sub-08",2,1,"false alarm",1.61290322580645
"sub-08",2,1,"miss",0
"sub-08",2,2,"false alarm",0
"sub-08",2,2,"miss",0
"sub-08",2,3,"false alarm",0
"sub-08",2,3,"miss",0
"sub-08",2,4,"false alarm",0
"sub-08",2,4,"miss",0
"sub-09",1,1,"false alarm",0
"sub-09",1,1,"miss",0
"sub-09",1,2,"false alarm",0
"sub-09",1,2,"miss",0
"sub-09",1,3,"false alarm",0
"sub-09",1,3,"miss",0
"sub-09",1,4,"false alarm",0
"sub-09",1,4,"miss",0
"sub-09",2,1,"false alarm",0
"sub-09",2,1,"miss",7.69230769230769
"sub-09",2,2,"false alarm",0
"sub-09",2,2,"miss",0
"sub-09",2,3,"false alarm",0
"sub-09",2,3,"miss",0
"sub-09",2,4,"false alarm",0
"sub-09",2,4,"miss",0
