"subject","mean_accuracy","repetitions"
"sub-01",100,"1/8"
"sub-01",100,"2/7"
"sub-01",80,"3/6"
"sub-01",100,"4/5"
"sub-01",80,"5/4"
"sub-01",40,"6/3"
"sub-01",80,"7/2"
"sub-01",80,"8/1"
"sub-02",20,"1/8"
"sub-02",100,"2/7"
"sub-02",100,"3/6"
"sub-02",60,"4/5"
"sub-02",80,"5/4"
"sub-02",80,"6/3"
"sub-02",20,"7/2"
"sub-02",60,"8/1"
"sub-03",100,"1/8"
"sub-03",100,"2/7"
"sub-03",100,"3/6"
"sub-03",80,"4/5"
"sub-03",100,"5/4"
"sub-03",100,"6/3"
"sub-03",40,"7/2"
"sub-03",20,"8/1"
"sub-04",100,"1/8"
"sub-04",40,"2/7"
"sub-04",100,"3/6"
"sub-04",40,"4/5"
"sub-04",40,"5/4"
"sub-04",0,"6/3"
"sub-04",80,"7/2"
"sub-04",100,"8/1"
"sub-05",80,"1/8"
"sub-05",80,"2/7"
"sub-05",100,"3/6"
"sub-05",80,"4/5"
"sub-05",100,"5/4"
"sub-05",60,"6/3"
"sub-05",40,"7/2"
"sub-05",20,"8/1"
"sub-06",100,"1/8"
"sub-06",80,"2/7"
"sub-06",100,"3/6"
"sub-06",100,"4/5"
"sub-06",80,"5/4"
"sub-06",60,"6/3"
"sub-06",80,"7/2"
"sub-06",100,"8/1"
"sub-07",100,"1/8"
"sub-07",80,"2/7"
"sub-07",80,"3/6"
"sub-07",80,"4/5"
"sub-07",40,"5/4"
"sub-07",100,"6/3"
"sub-07",60,"7/2"
"sub-07",40,"8/1"
"sub-08",100,"1/8"
"sub-08",100,"2/7"
"sub-08",100,"3/6"
"sub-08",100,"4/5"
"sub-08",100,"5/4"
"sub-08",80,"6/3"
"sub-08",100,"7/2"
"sub-08",100,"8/1"
"sub-09",60,"1/8"
"sub-09",80,"2/7"
"sub-09",100,"3/6"
"sub-09",100,"4/5"
"sub-09",100,"5/4"
"sub-09",80,"6/3"
"sub-09",40,"7/2"
"sub-09",80,"8/1"
"sub-10",100,"1/8"
"sub-10",80,"2/7"
"sub-10",100,"3/6"
"sub-10",80,"4/5"
"sub-10",100,"5/4"
"sub-10",80,"6/3"
"sub-10",80,"7/2"
"sub-10",40,"8/1"
"sub-11",80,"1/8"
"sub-11",80,"2/7"
"sub-11",60,"3/6"
"sub-11",100,"4/5"
"sub-11",100,"5/4"
"sub-11",80,"6/3"
"sub-11",40,"7/2"
"sub-11",80,"8/1"
"sub-12",100,"1/8"
"sub-12",100,"2/7"
"sub-12",80,"3/6"
"sub-12",80,"4/5"
"sub-12",80,"5/4"
"sub-12",80,"6/3"
"sub-12",40,"7/2"
"sub-12",60,"8/1"
"sub-13",80,"1/8"
"sub-13",80,"2/7"
