"tITI","period","seq_tr","mean_variable","sem_upper","sem_lower"
"0.032","backward",5,-0.074537037037037,-0.0508782512645405,-0.0981958228095336
"0.032","backward",6,-0.124074074074074,-0.102399834001222,-0.145748314146927
"0.032","backward",7,-0.0453703703703704,-0.0194005473667549,-0.0713401933739858
"0.064","backward",5,-0.0981481481481482,-0.0713332675612488,-0.124963028735048
"0.064","backward",6,-0.106018518518519,-0.0763291153518019,-0.135707921685235
"0.064","backward",7,-0.0685185185185185,-0.038280064531099,-0.098756972505938
"0.128","backward",5,-0.0680555555555555,-0.0384388462363305,-0.0976722648747806
"0.128","backward",6,-0.153703703703704,-0.126413449298537,-0.180993958108871
"0.128","backward",7,-0.0699074074074074,-0.045072685273339,-0.0947421295414758
"0.128","backward",8,0.00694444444444444,0.0329292368358818,-0.0190403479469929
"0.512","backward",6,-0.2125,-0.18409148629735,-0.24090851370265
"0.512","backward",7,-0.175462962962963,-0.143628361537272,-0.207297564388654
"0.512","backward",8,-0.0726851851851852,-0.0455079241469808,-0.0998624462233896
"0.512","backward",9,0.00925925925925926,0.0406612753683604,-0.0221427568498419
"2.048","backward",8,-0.105555555555556,-0.0744175286499098,-0.136693582461201
"2.048","backward",9,-0.261574074074074,-0.23172421872445,-0.291423929423698
"2.048","backward",10,-0.398148148148148,-0.371940308251734,-0.424355988044562
"2.048","backward",11,-0.367592592592593,-0.345075261970903,-0.390109923214282
"2.048","backward",12,-0.195833333333333,-0.168621843709491,-0.223044822957176
"2.048","backward",13,0.00462962962962963,0.0307771145201191,-0.0215178552608598
"0.032","excluded",1,0.00185185185185185,0.0276869156083509,-0.0239832119046472
"0.032","excluded",8,0.00555555555555556,0.0335467988322728,-0.0224356877211617
"0.032","excluded",9,0.0310185185185185,0.0633933131443152,-0.00135627610727813
"0.032","excluded",10,0.0194444444444444,0.0439636303238834,-0.00507474143499446
"0.032","excluded",11,0.0037037037037037,0.0299143474272991,-0.0225069400198917
"0.032","excluded",12,0.0037037037037037,0.0265434482088714,-0.019136040801464
"0.032","excluded",13,0.0222222222222222,0.0483982644208661,-0.00395381997642166
"0.064","excluded",1,-0.0268518518518518,0.000399329519703489,-0.0541030332234072
"0.064","excluded",8,0.0300925925925926,0.0639757526889418,-0.00379056750375666
"0.064","excluded",9,0.0472222222222222,0.0773344461810405,0.0171099982634039
"0.064","excluded",10,-0.0101851851851852,0.0150498456316238,-0.0354202160019942
"0.064","excluded",11,0.0231481481481481,0.0531413703232534,-0.00684507402695715
"0.064","excluded",12,0.00555555555555556,0.0357883384909911,-0.02467722737988
"0.064","excluded",13,0.0412037037037037,0.066519052645093,0.0158883547623144
"0.128","excluded",1,0.0148148148148148,0.0379582005683044,-0.00832857093867473
"0.128","excluded",9,-0.00462962962962963,0.0251299234814596,-0.0343891827407189
"0.128","excluded",10,-0.0087962962962963,0.0219891742848497,-0.0395817668774423
"0.128","excluded",11,0.0273148148148148,0.0562140252555786,-0.00158439562594895
"0.128","excluded",12,0.0277777777777778,0.0563844579709684,-0.000828902415412849
"0.128","excluded",13,0.0430555555555556,0.0708918035415905,0.0152193075695206
"0.512","excluded",1,-0.0402777777777778,-0.0102397727502839,-0.0703157828052716
"0.512","excluded",10,0.037962962962963,0.0608268257562509,0.015099100169675
"0.512","excluded",11,0.00601851851851852,0.0345105482355746,-0.0224735111985376
"0.512","excluded",12,-0.0106481481481481,0.0158223003989864,-0.0371185966952827
"0.512","excluded",13,0.00740740740740741,0.0331627038134852,-0.0183478889986704
"2.048","excluded",1,-0.0310185185185185,-0.00192164224465146,-0.0601153947923856
"0.032","forward",2,0.0421296296296296,0.0634349819714422,0.020824277287817
"0.032","forward",3,0.0939814814814815,0.124164292924486,0.0637986700384771
"0.032","forward",4,-0.0453703703703704,-0.0109847888749874,-0.0797559518657533
"0.064","forward",2,0.0337962962962963,0.0597905137979526,0.00780207879463993
"0.064","forward",3,0.0606481481481481,0.0923485811186819,0.0289477151776144
"0.064","forward",4,-0.0199074074074074,0.0144923296078887,-0.0543071444227036
"0.128","forward",2,0.0509259259259259,0.0738411562266977,0.0280106956251541
"0.128","forward",3,0.0912037037037037,0.124067366481576,0.058340040925831
"0.128","forward",4,-0.00787037037037037,0.0251405446055066,-0.0408812853462474
"0.512","forward",2,0.0611111111111111,0.0874383155415419,0.0347839066806803
"0.512","forward",3,0.252777777777778,0.280456171416622,0.225099384138934
"0.512","forward",4,0.199074074074074,0.237832042159915,0.160316105988233
"0.512","forward",5,-0.0300925925925926,0.00676369585907187,-0.066948881044257
"2.048","forward",2,0.0462962962962963,0.0736511006706543,0.0189414919219383
"2.048","forward",3,0.263425925925926,0.291455101362977,0.235396750488875
"2.048","forward",4,0.389814814814815,0.41413337394656,0.36549625568307
"2.048","forward",5,0.351851851851852,0.380679456091815,0.323024247611889
"2.048","forward",6,0.239814814814815,0.268222574033955,0.211407055595675
"2.048","forward",7,0.10787037037037,0.13735361906777,0.0783871216729711
