"tITI","period","seq_tr","mean_variable","pvalue","tvalue","df","cohens_d","sem_upper","sem_lower","pvalue_adjust","pvalue_round","pvalue_adjust_round","significance"
"0.032","backward",5,-0.00760302981333065,0.00128566167680259,-3.50089085850363,35,0.58,-0.00543128835647748,-0.00977477127018383,0.00278560029973895,"p = .001","p = .003","*"
"0.032","backward",6,-0.00694846146846372,0.00642041929371233,-2.89920835846057,35,0.48,-0.00455178602836074,-0.0093451369085667,0.0131787553923569,"p = .006","p = .01","*"
"0.032","backward",7,-0.00647015137534022,0.00887071451654302,-2.77175521272216,35,0.46,-0.00413583579594032,-0.00880446695474011,0.016993887159105,"p = .009","p = .02","*"
"0.064","backward",5,-0.00804767960471167,0.000586758826985571,-3.78012362870733,35,0.63,-0.00591873346559725,-0.0101766257438261,0.00143022464077733,"p < .001","p = .001","*"
"0.064","backward",6,-0.00716606134682186,0.00915055462413347,-2.75936529287106,35,0.46,-0.00456906508636454,-0.00976305760727918,0.016993887159105,"p = .009","p = .02","*"
"0.064","backward",7,-0.00482901650502983,0.0442530884586409,-2.08683502874638,35,0.35,-0.0025149780503798,-0.00714305495967986,0.0639211277735924,"p = .04","p = .06",""
"0.128","backward",5,-0.00597030532561677,0.0297007595077033,-2.26661280155565,35,0.38,-0.00333628449880456,-0.00860432615242898,0.0503621574261056,"p = .03","p = .05",""
"0.128","backward",6,-0.00837889917220742,0.000109323948955653,-4.35865178260021,35,0.73,-0.00645653886674414,-0.0103012594776707,0.00032797184686696,"p < .001","p < .001","*"
"0.128","backward",7,-0.00773899201920708,0.00115845717553547,-3.53841312120128,35,0.59,-0.00555185565210597,-0.00992612838630819,0.00265763704975785,"p = .001","p = .003","*"
"0.128","backward",8,0.00331575362326869,0.104099288838193,1.66870275217151,35,0.28,0.00530277834588862,0.00132872890064877,0.130963621441597,"p = .10","p = .13",""
"0.512","backward",6,-0.0184398613133802,5.52635674430977e-10,-8.46221655563128,35,1.41,-0.0162607796044503,-0.0206189430223102,3.07897018611544e-09,"p < .001","p < .001","*"
"0.512","backward",7,-0.0170132131969335,2.21123811455671e-07,-6.41352253257353,35,1.07,-0.014360503533792,-0.019665922860075,7.83984422433741e-07,"p < .001","p < .001","*"
"0.512","backward",8,-0.00564996391692803,0.0647745337821742,-1.9068561481004,35,0.32,-0.00268699058380246,-0.0086129372500536,0.0871105799139584,"p = .06","p = .09",""
"0.512","backward",9,0.000120413833654903,0.954496785961695,0.0574711034348111,35,0.01,0.0022156204063195,-0.0019747927390097,0.954496785961695,"p = .95","p = .95",""
"2.048","backward",8,-0.00914494891166489,0.000167221617978634,-4.21429302958335,35,0.7,-0.00697496480105144,-0.0113149330222783,0.000465831650083338,"p < .001","p < .001","*"
"2.048","backward",9,-0.020651890480791,3.67502682358262e-13,-11.237438099326,35,1.87,-0.0188141147975568,-0.0224896661640252,2.86652092239444e-12,"p < .001","p < .001","*"
"2.048","backward",10,-0.0344445347433581,1.10103030231868e-17,-16.0170594256907,35,2.67,-0.032294044205244,-0.0365950252814721,2.74616244402639e-16,"p < .001","p < .001","*"
"2.048","backward",11,-0.0384742889052894,1.40828843283404e-17,-15.8899123398748,35,2.65,-0.0360529861263722,-0.0408955916842066,2.74616244402639e-16,"p < .001","p < .001","*"
"2.048","backward",12,-0.0172445968129956,7.30032413581848e-08,-6.78271058373903,35,1.13,-0.0147021623983033,-0.0197870312276879,2.94509379493426e-07,"p < .001","p < .001","*"
"2.048","backward",13,0.00195055986450786,0.432525594515984,0.794035689585567,35,0.13,0.00440707396090309,-0.000505954231887378,0.481957091032096,"p = .43","p = .48",""
"0.032","excluded",1,0.00176314631886769,0.467078261705215,0.735262517304539,35,0.12,0.0041611283693214,-0.000634835731586013,NA,"p = .47","p = NA",NA
"0.032","excluded",8,-0.000425967316335841,0.854662492863007,-0.184530359027532,35,0.03,0.00188241878652915,-0.00273435341920083,NA,"p = .85","p = NA",NA
"0.032","excluded",9,0.00299175937505032,0.207222436652476,1.28502574433478,35,0.21,0.00531993014379944,0.000663588606301201,NA,"p = .21","p = NA",NA
"0.032","excluded",10,0.00111849069897911,0.474581936608877,0.72283858585774,35,0.12,0.00266584957115647,-0.00042886817319825,NA,"p = .47","p = NA",NA
"0.032","excluded",11,0.00180814929910202,0.345370789490793,0.956518973665714,35,0.16,0.00369849266800831,-8.2194069804256e-05,NA,"p = .35","p = NA",NA
"0.032","excluded",12,0.00169981534654884,0.371788617419113,0.904740811461462,35,0.15,0.00357860242569372,-0.00017897173259603,NA,"p = .37","p = NA",NA
"0.032","excluded",13,0.00380215597035138,0.143068209911702,1.4981181698034,35,0.25,0.0063401106170468,0.00126420132365596,NA,"p = .14","p = NA",NA
"0.064","excluded",1,-0.00142186546200823,0.556458437311031,-0.593809185588141,35,0.1,0.000972616631763925,-0.00381634755578039,NA,"p = .56","p = NA",NA
"0.064","excluded",8,0.00177835561144942,0.500315467237826,0.681059287828593,35,0.11,0.00438951684694085,-0.000832805624042007,NA,"p = .50","p = NA",NA
"0.064","excluded",9,0.00426189027687992,0.0541052962333087,1.99298389669505,35,0.33,0.00640033719757375,0.00212344335618608,NA,"p = .05","p = NA",NA
"0.064","excluded",10,0.000494286520355583,0.810686764138585,0.241357141046226,35,0.04,0.00254223305391564,-0.00155366001320447,NA,"p = .81","p = NA",NA
"0.064","excluded",11,0.00169389165137386,0.452119564108079,0.760380167552873,35,0.13,0.00392158211945288,-0.000533798816705158,NA,"p = .45","p = NA",NA
"0.064","excluded",12,0.00078570834815491,0.728725616990318,0.349610985937732,35,0.06,0.00303308723428308,-0.00146167053797326,NA,"p = .73","p = NA",NA
"0.064","excluded",13,0.00356893115088745,0.244591628022953,1.18348909790964,35,0.2,0.00658453235683952,0.000553329944935379,NA,"p = .24","p = NA",NA
"0.128","excluded",1,-0.00200177457785883,0.389685124964849,-0.871008017518566,35,0.15,0.000296452921311304,-0.00430000207702897,NA,"p = .39","p = NA",NA
"0.128","excluded",9,0.00043401000481839,0.859414683507375,0.178429250563252,35,0.03,0.00286640269518916,-0.00199838268555238,NA,"p = .86","p = NA",NA
