"tITI","period","seq_tr","mean_variable","pvalue","tvalue","df","cohens_d","sem_upper","sem_lower","pvalue_adjust","pvalue_round","pvalue_adjust_round","significance"
"0.032","backward",5,-0.0529629629629629,0.00874229894373542,-2.77756314302778,35,0.46,-0.0338948229295275,-0.0720311029963984,0.0154977117638946,"p = .009","p = .02","*"
"0.032","backward",6,-0.0881481481481481,2.88132727739471e-05,-4.80569280948677,35,0.8,-0.0698057047913573,-0.106490591504939,8.64398183218414e-05,"p < .001","p < .001","*"
"0.032","backward",7,-0.0233333333333333,0.256574949015328,-1.15336872493941,35,0.19,-0.00310274026383677,-0.0435639264028299,0.322787839083799,"p = .26","p = .32",""
"0.064","backward",5,-0.0881481481481481,9.1956350534317e-05,-4.41711269283408,35,0.74,-0.0681920921726799,-0.108104204123616,0.000239086511389224,"p < .001","p < .001","*"
"0.064","backward",6,-0.0848148148148148,0.000564344583602109,-3.79380709158274,35,0.63,-0.0624586926485106,-0.107170936981119,0.00137558992253014,"p < .001","p = .001","*"
"0.064","backward",7,-0.0437037037037037,0.0368305021842174,-2.1706018595792,35,0.36,-0.0235693324412668,-0.0638380749661406,0.0552457532763261,"p = .04","p = .06",""
"0.128","backward",5,-0.0611111111111111,0.00978368443496697,-2.73258644957887,35,0.46,-0.038747276612653,-0.0834749456095692,0.0159646609615464,"p = .01","p = .02","*"
"0.128","backward",6,-0.0888888888888889,6.36808189644633e-05,-4.540766091865,35,0.76,-0.0693131417372931,-0.108464636040485,0.000177396567115291,"p < .001","p < .001","*"
"0.128","backward",7,-0.0574074074074074,0.00291126759922285,-3.20096880249845,35,0.53,-0.039473022241704,-0.0753417925731108,0.00597575980893111,"p = .003","p = .006","*"
"0.128","backward",8,0.0148148148148148,0.422504879548278,0.811603067336689,35,0.14,0.0330685836964804,-0.00343895406685079,0.484637950070083,"p = .42","p = .48",""
"0.512","backward",6,-0.175555555555556,9.69550912073131e-10,-8.26330900494225,35,1.38,-0.154310367284058,-0.196800743827053,5.40178365297887e-09,"p < .001","p < .001","*"
"0.512","backward",7,-0.15,1.38215402508501e-07,-6.56969588226005,35,1.09,-0.127167892899725,-0.172832107100275,4.90036427075594e-07,"p < .001","p < .001","*"
"0.512","backward",8,-0.0648148148148148,0.00982440674556702,-2.7309197226459,35,0.46,-0.0410811201633961,-0.0885485094662335,0.0159646609615464,"p = .01","p = .02","*"
