"tITI","period","seq_tr","mean_variable","pvalue","tvalue","df","cohens_d","sem_upper","sem_lower","pvalue_adjust","pvalue_round","pvalue_adjust_round","significance"
"0.032","backward",5,-0.074537037037037,0.00333075811298676,-3.15050137203942,35,0.53,-0.0508782512645405,-0.0981958228095336,0.00683681928455176,"p = .003","p = .007","*"
"0.032","backward",6,-0.124074074074074,1.78179778907546e-06,-5.72449477615041,35,0.95,-0.102399834001222,-0.145748314146927,6.31728307035846e-06,"p < .001","p < .001","*"
"0.032","backward",7,-0.0453703703703704,0.0894009229943757,-1.74704195573663,35,0.29,-0.0194005473667549,-0.0713401933739858,0.116221199892688,"p = .09","p = .12",""
"0.064","backward",5,-0.0981481481481482,0.000823836202616563,-3.66021201661063,35,0.61,-0.0713332675612488,-0.124963028735048,0.00201666363464142,"p < .001","p = .002","*"
"0.064","backward",6,-0.106018518518519,0.00105813284564816,-3.57092117760625,35,0.6,-0.0763291153518019,-0.135707921685235,0.00242748123413401,"p = .001","p = .002","*"
"0.064","backward",7,-0.0685185185185185,0.0297460929210323,-2.26593987070322,35,0.38,-0.038280064531099,-0.098756972505938,0.0446191393815484,"p = .03","p = .04","*"
"0.128","backward",5,-0.0680555555555555,0.0276617299984788,-2.29787701334459,35,0.38,-0.0384388462363305,-0.0976722648747806,0.043152298797627,"p = .03","p = .04","*"
"0.128","backward",6,-0.153703703703704,2.35860711278539e-06,-5.63218288190832,35,0.94,-0.126413449298537,-0.180993958108871,7.66547311655251e-06,"p < .001","p < .001","*"
"0.128","backward",7,-0.0699074074074074,0.00795714990890151,-2.81490596230622,35,0.47,-0.045072685273339,-0.0947421295414758,0.0147775641165314,"p = .008","p = .01","*"
"0.128","backward",8,0.00694444444444444,0.790844944096853,0.267250333958135,35,0.04,0.0329292368358818,-0.0190403479469929,0.83359331945344,"p = .79","p = .83",""
"0.512","backward",6,-0.2125,9.27152125382562e-09,-7.48015197923494,35,1.25,-0.18409148629735,-0.24090851370265,4.0176592099911e-08,"p < .001","p < .001","*"
"0.512","backward",7,-0.175462962962963,3.40110240372991e-06,-5.51170597730064,35,0.92,-0.143628361537272,-0.207297564388654,1.02033072111897e-05,"p < .001","p < .001","*"
"0.512","backward",8,-0.0726851851851852,0.0112997840392635,-2.67448530162801,35,0.45,-0.0455079241469808,-0.0998624462233896,0.0191605033709251,"p = .01","p = .02","*"
"0.512","backward",9,0.00925925925925926,0.769841340410313,0.294861935841619,35,0.05,0.0406612753683604,-0.0221427568498419,0.83359331945344,"p = .77","p = .83",""
"2.048","backward",8,-0.105555555555556,0.00174536901347515,-3.38992434798163,35,0.56,-0.0744175286499098,-0.136693582461201,0.00378163286252948,"p = .002","p = .004","*"
"2.048","backward",9,-0.261574074074074,2.38389016380109e-10,-8.76299301990977,35,1.46,-0.23172421872445,-0.291423929423698,1.32816737697489e-09,"p < .001","p < .001","*"
"2.048","backward",10,-0.398148148148148,5.5887491826478e-17,-15.1919482766159,35,2.53,-0.371940308251734,-0.424355988044562,7.26537393744215e-16,"p < .001","p < .001","*"
"2.048","backward",11,-0.367592592592593,6.10512775119116e-18,-16.3248743276219,35,2.72,-0.345075261970903,-0.390109923214282,2.09601236823757e-16,"p < .001","p < .001","*"
"2.048","backward",12,-0.195833333333333,2.13318847494954e-08,-7.1967149186035,35,1.2,-0.168621843709491,-0.223044822957176,8.31943505230319e-08,"p < .001","p < .001","*"
"2.048","backward",13,0.00462962962962963,0.860483251347002,0.177058315513687,35,0.03,0.0307771145201191,-0.0215178552608598,0.860483251347002,"p = .86","p = .86",""
"0.032","excluded",1,0.00185185185185185,0.943264784627806,0.0716797864060235,35,0.01,0.0276869156083509,-0.0239832119046472,NA,"p = .94","p = NA",NA
"0.032","excluded",8,0.00555555555555556,0.843822017337639,0.198474769435361,35,0.03,0.0335467988322728,-0.0224356877211617,NA,"p = .84","p = NA",NA
"0.032","excluded",9,0.0310185185185185,0.344580748132399,0.958107035953289,35,0.16,0.0633933131443152,-0.00135627610727813,NA,"p = .34","p = NA",NA
"0.032","excluded",10,0.0194444444444444,0.433103699699473,0.793029774318486,35,0.13,0.0439636303238834,-0.00507474143499446,NA,"p = .43","p = NA",NA
"0.032","excluded",11,0.0037037037037037,0.888438935828243,0.141305331634016,35,0.02,0.0299143474272991,-0.0225069400198917,NA,"p = .89","p = NA",NA
"0.032","excluded",12,0.0037037037037037,0.872112060897217,0.162160470002881,35,0.03,0.0265434482088714,-0.019136040801464,NA,"p = .87","p = NA",NA
"0.032","excluded",13,0.0222222222222222,0.401677003328589,0.848952719956018,35,0.14,0.0483982644208661,-0.00395381997642166,NA,"p = .40","p = NA",NA
"0.064","excluded",1,-0.0268518518518518,0.331216980798124,-0.985346340980274,35,0.16,0.000399329519703489,-0.0541030332234072,NA,"p = .33","p = NA",NA
"0.064","excluded",8,0.0300925925925926,0.380534807556969,0.888128276908709,35,0.15,0.0639757526889418,-0.00379056750375666,NA,"p = .38","p = NA",NA
"0.064","excluded",9,0.0472222222222222,0.125830421372194,1.56820772476997,35,0.26,0.0773344461810405,0.0171099982634039,NA,"p = .13","p = NA",NA
"0.064","excluded",10,-0.0101851851851852,0.688952761948533,-0.403612948172065,35,0.07,0.0150498456316238,-0.0354202160019942,NA,"p = .69","p = NA",NA
