"tITI","period","seq_tr","mean_variable","sem_upper","sem_lower"
"0.032","backward",5,0.00183927977658988,0.00601893026808562,-0.00234037071490587
"0.032","backward",6,-0.00564388961195667,-0.00182656041334003,-0.00946121881057331
"0.032","backward",7,-0.00447813313877435,-0.000680025469743255,-0.00827624080780544
"0.064","backward",5,-0.00528229817582736,-0.00110203760363807,-0.00946255874801666
"0.064","backward",6,-0.00144046396866248,0.00225591438892161,-0.00513684232624657
"0.064","backward",7,-0.00492174480066336,-0.000860020494624455,-0.00898346910670227
"0.128","backward",5,0.00165008827574053,0.00567210905870269,-0.00237193250722163
"0.128","backward",6,-0.00329090903139193,-0.000268145996525621,-0.00631367206625824
"0.128","backward",7,-0.00312885371857947,0.000139491278738948,-0.00639719871589789
"0.128","backward",8,0.000292515186728319,0.00345470021768953,-0.00286966984423289
"0.512","backward",6,-0.0160803666361317,-0.0129498000781844,-0.019210933194079
"0.512","backward",7,-0.0106162475598716,-0.00683221090332328,-0.0144002842164199
"0.512","backward",8,-0.00205864144004543,0.00226233306146212,-0.00637961594155297
"0.512","backward",9,0.000772931329016283,0.00369010883929286,-0.0021442461812603
"2.048","backward",8,-0.039498302778876,-0.0352874164934756,-0.0437091890642765
"2.048","backward",9,-0.0557099870679662,-0.0516349698638415,-0.0597850042720908
"2.048","backward",10,-0.0281062666955761,-0.0247217150608646,-0.0314908183302875
"2.048","backward",11,-0.00856444637759387,-0.00556410677916424,-0.0115647859760235
"2.048","backward",12,-0.0010474694993605,0.0019291854972614,-0.0040241244959824
"2.048","backward",13,0.0045892268550951,0.00881349312995528,0.00036496058023492
"0.032","excluded",1,-0.000412078695367031,0.003910711574195,-0.00473486896492907
"0.032","excluded",8,-0.00219820898766056,0.00153870749447471,-0.00593512546979582
"0.032","excluded",9,-0.000565179055708347,0.00355924172712852,-0.00468959983854522
"0.032","excluded",10,-0.00429837258730845,-0.00138469996308855,-0.00721204521152834
"0.032","excluded",11,0.00234667075843295,0.00474540984526481,-5.20683283989107e-05
"0.032","excluded",12,-0.00105261183202176,0.00242748736864903,-0.00453271103269254
"0.032","excluded",13,0.00298081430981161,0.00678894991216655,-0.000827321292543316
"0.064","excluded",1,-0.00174504825391675,0.00211574880065178,-0.00560584530848529
"0.064","excluded",8,0.000411291296777996,0.00471159003878546,-0.00388900744522947
"0.064","excluded",9,-0.000313951337067952,0.00373206589606703,-0.00435996857020294
"0.064","excluded",10,-0.0013810397853687,0.00179384004078775,-0.00455591961152515
"0.064","excluded",11,1.33924320389841e-05,0.00292667016426615,-0.00289988530018818
"0.064","excluded",12,-0.00336429452446247,0.000107655857724038,-0.00683624490664897
"0.064","excluded",13,0.00697501888990036,0.0109874997631962,0.00296253801660447
"0.128","excluded",1,-0.00110146493513181,0.00208176663175373,-0.00428469650201735
"0.128","excluded",9,-0.00151341375931415,0.00178881086780169,-0.00481563838642999
"0.128","excluded",10,-0.00631434478881388,-0.00358379165524985,-0.00904489792237791
"0.128","excluded",11,-0.000339565067655107,0.00263700796767817,-0.00331613810298839
"0.128","excluded",12,-0.00275355436810849,0.00105897200194061,-0.0065660807381576
"0.128","excluded",13,0.000452456588824955,0.00437447789330415,-0.00346956471565424
"0.512","excluded",1,0.000585987616353889,0.00519984971446788,-0.0040278744817601
"0.512","excluded",10,0.0012361373299732,0.00439370934503921,-0.00192143468509282
"0.512","excluded",11,-0.00360209668599535,-0.000488307473096758,-0.00671588589889395
"0.512","excluded",12,-0.00204781656426554,0.00168171714031688,-0.00577735026884796
"0.512","excluded",13,0.000289895125412725,0.00362395323329429,-0.00304416298246884
"2.048","excluded",1,-0.00325134318111319,0.00158201302599322,-0.0080846993882196
"0.032","forward",2,0.00583820347701864,0.00921640659675173,0.00246000035728556
"0.032","forward",3,0.00466459907124808,0.00955425228913949,-0.000225054146643341
"0.032","forward",4,0.000978906515695996,0.00773133706652737,-0.00577352403513538
"0.064","forward",2,0.00379989547602411,0.00692918248415982,0.000670608467888408
"0.064","forward",3,0.00856390889812813,0.0141303067365623,0.00299751105969394
"0.064","forward",4,-0.00131466614690051,0.00557653903928627,-0.00820587133308729
"0.128","forward",2,0.00647556205839584,0.0107174888589122,0.00223363525787952
"0.128","forward",3,0.0080531788160722,0.0134322744414692,0.00267408319067516
"0.128","forward",4,0.00151830474323301,0.00889096821061974,-0.00585435872415371
"0.512","forward",2,0.000438499858911218,0.00424783782190955,-0.00337083810408712
"0.512","forward",3,0.0301284328773821,0.035311562447314,0.0249453033074503
"0.512","forward",4,0.0154227475865731,0.0212510004076258,0.0095944947655204
"0.512","forward",5,-0.014469462837313,-0.00873639502708072,-0.0202025306475452
"2.048","forward",2,0.000169346092763843,0.00392599689386569,-0.003587304708338
"2.048","forward",3,0.0336815223210426,0.0385265203875831,0.028836524254502
"2.048","forward",4,0.0536936198642463,0.057679311843378,0.0497079278851146
"2.048","forward",5,0.0392491845849809,0.0432223796168911,0.0352759895530708
"2.048","forward",6,0.0135482921068611,0.0163042452446403,0.0107923389690818
"2.048","forward",7,-0.00875337622450398,-0.00588398403209422,-0.0116227684169137
