"seq_tr","change","position","mean_probability","sem_upper","sem_lower"
1,7,2,11.8885727325507,13.8980133331348,9.87913213196665
2,7,2,11.044729950798,12.8843776782908,9.20508222330523
3,7,2,15.1088453335483,17.6641786165566,12.5535120505401
4,7,2,31.1232377275665,33.6848579185701,28.5616175365628
5,7,2,35.3880346549849,38.3022603242802,32.4738089856896
6,7,2,28.155958918767,31.1483982708345,25.1635195666995
7,7,2,15.9044021916198,17.7736711561186,14.035133227121
8,7,2,10.4113969182175,12.0032582555753,8.81953558085963
9,7,2,8.45146290463417,9.86643990905294,7.03648590021539
10,7,2,8.91602428530234,10.389936389241,7.44211218136365
11,7,2,11.1839483374032,12.7942591218473,9.57363755295914
12,7,2,9.19344471341762,11.2958028219007,7.09108660493453
13,7,2,9.22995351028939,11.0461627129735,7.41374430760528
1,3,5,10.5214165004983,12.2643157012692,8.77851729972746
2,3,5,9.98451102628258,11.5343058551637,8.43471619740149
3,3,5,10.1432892579312,11.6787878244942,8.60779069136813
4,3,5,6.57506677701707,7.9827164695459,5.16741708448823
5,3,5,4.27019033535701,5.34100821653409,3.19937245417993
6,3,5,5.91195947901356,7.0879747375701,4.73594422045702
7,3,5,5.99536554345644,6.9420084073635,5.04872267954938
8,3,5,8.42504061691983,9.73147468779541,7.11860654604425
9,3,5,11.623275720145,13.5967714921963,9.64977994809369
10,3,5,11.6573983685713,13.2049940982739,10.1098026388687
11,3,5,8.12271112102541,9.50012320369168,6.74529903835914
12,3,5,11.2369499126044,13.1300315705661,9.34386825464264
13,3,5,10.6278170680614,12.2714528932341,8.98418124288867
1,2,1,9.11916209574254,10.5545444230998,7.68377976838532
2,2,1,12.2559094879047,13.9536184476904,10.558200528119
3,2,1,14.9725513981486,16.7887962474057,13.1563065488914
4,2,1,16.3547981351241,18.2585935325632,14.4510027376849
5,2,1,13.3569026589601,15.3559550856925,11.3578502322277
6,2,1,12.9236197546961,14.6648951753806,11.1823443340116
7,2,1,11.1326715784753,12.828834175396,9.43650898155468
8,2,1,11.999134561664,13.4262528271275,10.5720162962005
9,2,1,11.2166588803444,13.0570978734684,9.37621988722046
10,2,1,9.83127035018884,11.483577966999,8.17896273337864
11,2,1,8.60670765494088,9.942876399807,7.27053891007477
12,2,1,11.1871835890679,13.026620905337,9.34774627279877
13,2,1,12.2599135901541,14.1175422411865,10.4022849391216
1,2,5,12.241777519278,13.7682157131768,10.7153393253793
2,2,5,10.3684787207742,12.1935892501607,8.54336819138779
3,2,5,6.7011600943317,8.07080227943536,5.33151790922804
4,2,5,4.5463224452526,5.53989546440105,3.55274942610415
5,2,5,4.62080341014585,5.88925034192461,3.3523564783671
6,2,5,5.60188890358023,6.99553396644694,4.20824384071352
7,2,5,10.5860220084525,12.2867201502355,8.88532386666949
8,2,5,11.9316219354345,13.6249404066096,10.2383034642593
9,2,5,10.8266072042541,12.4833299588415,9.16988444966674
10,2,5,10.0765094890834,11.2680654749839,8.88495350318295
11,2,5,8.86617260231941,10.3460582197495,7.38628698488933
12,2,5,12.285240334114,13.9024586423057,10.6680220259223
13,2,5,15.8605692004671,18.1528503560259,13.5682880449082
1,7,3,8.25506332363907,9.79457309450893,6.71555355276921
2,7,3,9.42628299089625,10.650763376722,8.20180260507054
3,7,3,10.3594872737183,11.9785728045149,8.74040174292175
4,7,3,7.78338742693307,9.43816123860107,6.12861361526506
5,7,3,5.31617275785729,6.67599962636046,3.95634588935412
6,7,3,7.36416333830238,8.85086884288675,5.877457833718
7,7,3,11.6676840875365,13.5091207504775,9.82624742459546
8,7,3,14.9460617829919,17.2509362643123,12.6411873016714
9,7,3,14.0265879165675,15.8553196789869,12.1978561541481
10,7,3,9.86925776668333,11.3776524155587,8.360863117808
11,7,3,9.44925732521284,10.9615384232218,7.93697622720388
12,7,3,13.1265266358566,15.0922259664867,11.1608273052266
13,7,3,13.3519828508264,14.9831654446079,11.720800257045
1,9,3,12.2038794219063,14.6579793098007,9.74977953401195
2,9,3,9.44155889222255,10.9675628126811,7.91555497176404
3,9,3,8.2328544544346,9.5516637291309,6.9140451797383
4,9,3,5.19548278376981,6.45924847788423,3.93171708965539
5,9,3,4.12556404451659,5.1370916241942,3.11403646483898
6,9,3,6.21664621583138,7.6133366743694,4.81995575729337
7,9,3,11.9499765803834,13.7401292102093,10.1598239505575
8,9,3,12.4279851152627,14.1046852720543,10.7512849584711
9,9,3,12.201073950706,14.1831921771676,10.2189557242444
10,9,3,7.9841730070336,9.32241433870624,6.64593167536096
11,9,3,10.7382577478838,12.1879493960757,9.28856609969188
12,9,3,10.5199705805793,12.4814149450026,8.55852621615602
13,9,3,9.90735938806412,11.4016673845199,8.41305139160839
1,6,2,11.7603688938535,13.747400537287,9.77333725042006
2,6,2,8.43055844310669,9.98849656790197,6.87262031831142
3,6,2,14.5008475449915,16.5745095477987,12.4271855421842
4,6,2,25.2717904476366,28.1495338245111,22.3940470707621
5,6,2,38.5049396491022,41.1927050828488,35.8171742153556
6,6,2,30.1859755439248,33.0570263852916,27.314924702558
7,6,2,17.4877479485535,19.5358730010713,15.4396228960357
8,6,2,12.2435045003177,13.9835723799703,10.503436620665
9,6,2,9.06706014426333,10.8961718273984,7.23794846112823
10,6,2,7.10285838320885,8.33594369629534,5.86977307012235
11,6,2,9.43382249579961,11.1368686012454,7.73077639035383
12,6,2,9.96034097626931,11.7925929102507,8.12808904228789
13,6,2,10.3945901679881,11.9684727410734,8.8207075949028
1,5,1,11.1031788863418,13.3695003864583,8.83685738622535
2,5,1,13.0770116678103,14.9277999595504,11.2262233760701
3,5,1,24.1837380556853,26.4545133041225,21.9129628072481
4,5,1,28.6967214176814,30.6316746165464,26.7617682188164
5,5,1,23.7227660930887,25.8976985843774,21.5478336018
6,5,1,17.9164940681189,20.0297333330273,15.8032548032105
7,5,1,11.8682136527927,13.7363393406029,10.0000879649824
8,5,1,9.46026313028265,10.9064385359696,8.0140877245957
9,5,1,10.0705652106502,11.9736107003573,8.16751972094312
10,5,1,9.04749703786363,10.6504243688166,7.4445697069107
11,5,1,7.72724456092475,9.30148680226709,6.15300231958241
12,5,1,8.43599585713971,10.4244733220942,6.44751839218526
13,5,1,7.50632444915387,8.78190129434712,6.23074760396063
1,5,2,12.0112940634278,14.3026535517811,9.71993457507441
2,5,2,10.2228032208319,12.2849274415533,8.16067900011041
3,5,2,14.3128764369195,16.6126031537545,12.0131497200845
4,5,2,28.873228533331,31.5839584569096,26.1624986097523
5,5,2,42.8887356331021,45.8737312540331,39.9037400121711
6,5,2,34.9672304572686,37.8828967350181,32.0515641795191
7,5,2,26.1208529020193,28.699275966872,23.5424298371665
8,5,2,10.7940665779322,12.9466365004472,8.64149665541719
9,5,2,8.01791612933884,9.53538916739955,6.50044309127813
10,5,2,10.8658938585777,12.3711093937131,9.36067832344232
11,5,2,7.55172581561247,8.88662659720647,6.21682503401846
12,5,2,7.73065309823921,9.2908662466596,6.17043994981882
13,5,2,8.49513182039154,10.1116970709251,6.87856656985798
1,2,2,9.90932662088745,11.6596621778238,8.15899106395112
2,2,2,12.2646938712636,14.2532579913387,10.2761297511884
3,2,2,24.3255409241537,27.200925353541,21.4501564947664
4,2,2,42.5792958906173,45.3001207287624,39.8584710524721
5,2,2,49.4235905226861,52.0656237014987,46.7815573438736
6,2,2,39.3097175409772,42.531417144209,36.0880179377453
7,2,2,21.4053676692244,24.2606285692736,18.5501067691752
8,2,2,10.9435445259105,13.0025482558294,8.88454079599157
